  0.735000008717E-03  0.285971313715E-01 -0.187041275203E-01
  0.147000001743E-02 -0.502209484577E+00  0.110319308937E+00
  0.220500002615E-02 -0.500351190567E+00  0.112026371062E+00
  0.294000003487E-02 -0.498484790325E+00  0.113695919514E+00
  0.367500004359E-02 -0.496610462666E+00  0.115328498185E+00
  0.441000005230E-02 -0.494728416204E+00  0.116924747825E+00
  0.514500029385E-02 -0.492838948965E+00  0.118485167623E+00
  0.588000006974E-02 -0.490942299366E+00  0.120010323822E+00
  0.661499984562E-02 -0.489038705826E+00  0.121500767767E+00
  0.734999962151E-02 -0.487128376961E+00  0.122957058251E+00
  0.808500032872E-02 -0.485211461782E+00  0.124379679561E+00
  0.882000010461E-02 -0.483288228512E+00  0.125769212842E+00
  0.955499988049E-02 -0.481358915567E+00  0.127126127481E+00
  0.102899996564E-01 -0.479423642159E+00  0.128450945020E+00
  0.110250003636E-01 -0.477482676506E+00  0.129744201899E+00
  0.117600001395E-01 -0.475536108017E+00  0.131006360054E+00
  0.124949999154E-01 -0.473584204912E+00  0.132237911224E+00
  0.132299996912E-01 -0.471626967192E+00  0.133439332247E+00
  0.139649994671E-01 -0.469664752483E+00  0.134611085057E+00
  0.147000001743E-01 -0.467697560787E+00  0.135753631592E+00
  0.154349999502E-01 -0.465725630522E+00  0.136867448688E+00
  0.161700006574E-01 -0.463749080896E+00  0.137952983379E+00
  0.169050004333E-01 -0.461768060923E+00  0.139010682702E+00
  0.176400002092E-01 -0.459782779217E+00  0.140040919185E+00
  0.183749999851E-01 -0.457793295383E+00  0.141044214368E+00
  0.191099997610E-01 -0.455799698830E+00  0.142020910978E+00
  0.198449995369E-01 -0.453802108765E+00  0.142971485853E+00
  0.205799993128E-01 -0.451800793409E+00  0.143896281719E+00
  0.213150009513E-01 -0.449795722961E+00  0.144795745611E+00
  0.220500007272E-01 -0.447787106037E+00  0.145670250058E+00
  0.227850005031E-01 -0.445774972439E+00  0.146520152688E+00
  0.235200002789E-01 -0.443759471178E+00  0.147345885634E+00
  0.242550000548E-01 -0.441740721464E+00  0.148147791624E+00
  0.249899998307E-01 -0.439718842506E+00  0.148926213384E+00
  0.257249996066E-01 -0.437693834305E+00  0.149681538343E+00
  0.264599993825E-01 -0.435665935278E+00  0.150414139032E+00
  0.271949991584E-01 -0.433635115623E+00  0.151124313474E+00
  0.279300007969E-01 -0.431601494551E+00  0.151812419295E+00
  0.286650005728E-01 -0.429565280676E+00  0.152478799224E+00
  0.294000003487E-01 -0.427526384592E+00  0.153123781085E+00
  0.301350001246E-01 -0.425485074520E+00  0.153747662902E+00
  0.308699999005E-01 -0.423441261053E+00  0.154350787401E+00
  0.316050015390E-01 -0.421395123005E+00  0.154933467507E+00
  0.323400013149E-01 -0.419346719980E+00  0.155495971441E+00
  0.330750010908E-01 -0.417296171188E+00  0.156038656831E+00
  0.338100008667E-01 -0.415243476629E+00  0.156561762094E+00
  0.345450006425E-01 -0.413188874722E+00  0.157065585256E+00
  0.352800004184E-01 -0.411132246256E+00  0.157550454140E+00
  0.360150001943E-01 -0.409073710442E+00  0.158016592264E+00
  0.367499999702E-01 -0.407013475895E+00  0.158464327455E+00
  0.374849997461E-01 -0.404951453209E+00  0.158893838525E+00
  0.382199995220E-01 -0.402887851000E+00  0.159305483103E+00
  0.389549992979E-01 -0.400822609663E+00  0.159699469805E+00
  0.396899990737E-01 -0.398755848408E+00  0.160076081753E+00
  0.404249988496E-01 -0.396687775850E+00  0.160435542464E+00
  0.411599986255E-01 -0.394618242979E+00  0.160778135061E+00
  0.418950021267E-01 -0.392547458410E+00  0.161104053259E+00
  0.426300019026E-01 -0.390475392342E+00  0.161413565278E+00
  0.433650016785E-01 -0.388402223587E+00  0.161706864834E+00
  0.441000014544E-01 -0.386328011751E+00  0.161984249949E+00
  0.448350012302E-01 -0.384252697229E+00  0.162245884538E+00
  0.455700010061E-01 -0.382176429033E+00  0.162491992116E+00
  0.463050007820E-01 -0.380099356174E+00  0.162722826004E+00
  0.470400005579E-01 -0.378021419048E+00  0.162938609719E+00
  0.477750003338E-01 -0.375942647457E+00  0.163139492273E+00
  0.485100001097E-01 -0.373863250017E+00  0.163325712085E+00
  0.492449998856E-01 -0.371783226728E+00  0.163497477770E+00
  0.499799996614E-01 -0.369702666998E+00  0.163654997945E+00
  0.507149994373E-01 -0.367621600628E+00  0.163798421621E+00
  0.514499992132E-01 -0.365540057421E+00  0.163927987218E+00
  0.521849989891E-01 -0.363458156586E+00  0.164043858647E+00
  0.529199987650E-01 -0.361376047134E+00  0.164146259427E+00
  0.536549985409E-01 -0.359293639660E+00  0.164235323668E+00
  0.543900020421E-01 -0.357211053371E+00  0.164311259985E+00
  0.551250018179E-01 -0.355128347874E+00  0.164374262094E+00
  0.558600015938E-01 -0.353045642376E+00  0.164424449205E+00
  0.565950013697E-01 -0.350962936878E+00  0.164462044835E+00
  0.573300011456E-01 -0.348880320787E+00  0.164487183094E+00
  0.580650009215E-01 -0.346797794104E+00  0.164500072598E+00
  0.588000006974E-01 -0.344715595245E+00  0.164500832558E+00
  0.595350004733E-01 -0.342633545399E+00  0.164489656687E+00
  0.602700002491E-01 -0.340551912785E+00  0.164466693997E+00
  0.610050000250E-01 -0.338470667601E+00  0.164432078600E+00
  0.617399998009E-01 -0.336389869452E+00  0.164385974407E+00
  0.624749995768E-01 -0.334309667349E+00  0.164328560233E+00
  0.632100030780E-01 -0.332230031490E+00  0.164259970188E+00
  0.639450028539E-01 -0.330151021481E+00  0.164180353284E+00
  0.646800026298E-01 -0.328072786331E+00  0.164089858532E+00
  0.654150024056E-01 -0.325995326042E+00  0.163988605142E+00
  0.661500021815E-01 -0.323918730021E+00  0.163876742125E+00
  0.668850019574E-01 -0.321843028069E+00  0.163754433393E+00
  0.676200017333E-01 -0.319768339396E+00  0.163621783257E+00
  0.683550015092E-01 -0.317694693804E+00  0.163478970528E+00
  0.690900012851E-01 -0.315622150898E+00  0.163326084614E+00
  0.698250010610E-01 -0.313550770283E+00  0.163163274527E+00
  0.705600008368E-01 -0.311480641365E+00  0.162990674376E+00
  0.712950006127E-01 -0.309411853552E+00  0.162808403373E+00
  0.720300003886E-01 -0.307344406843E+00  0.162616595626E+00
  0.727650001645E-01 -0.305278420448E+00  0.162415370345E+00
  0.734999999404E-01 -0.303213924170E+00  0.162204846740E+00
  0.742349997163E-01 -0.301150977612E+00  0.161985173821E+00
  0.749699994922E-01 -0.299089699984E+00  0.161756455898E+00
  0.757049992681E-01 -0.297030091286E+00  0.161518782377E+00
  0.764399990439E-01 -0.294972240925E+00  0.161272332072E+00
  0.771749988198E-01 -0.292916238308E+00  0.161017149687E+00
  0.779099985957E-01 -0.290862113237E+00  0.160753399134E+00
  0.786449983716E-01 -0.288809925318E+00  0.160481184721E+00
  0.793799981475E-01 -0.286759793758E+00  0.160200625658E+00
  0.801149979234E-01 -0.284711778164E+00  0.159911796451E+00
  0.808499976993E-01 -0.282665848732E+00  0.159614831209E+00
  0.815849974751E-01 -0.280622184277E+00  0.159309834242E+00
  0.823199972510E-01 -0.278580754995E+00  0.158996939659E+00
  0.830550044775E-01 -0.276541650295E+00  0.158676221967E+00
  0.837900042534E-01 -0.274505019188E+00  0.158347800374E+00
  0.845250040293E-01 -0.272470802069E+00  0.158011794090E+00
  0.852600038052E-01 -0.270439207554E+00  0.157668232918E+00
  0.859950035810E-01 -0.268410176039E+00  0.157317310572E+00
  0.867300033569E-01 -0.266383767128E+00  0.156959056854E+00
  0.874650031328E-01 -0.264360100031E+00  0.156593635678E+00
  0.882000029087E-01 -0.262339264154E+00  0.156221076846E+00
  0.889350026846E-01 -0.260321289301E+00  0.155841574073E+00
  0.896700024605E-01 -0.258306235075E+00  0.155455142260E+00
  0.904050022364E-01 -0.256294131279E+00  0.155061915517E+00
  0.911400020123E-01 -0.254285097122E+00  0.154661938548E+00
  0.918750017881E-01 -0.252279192209E+00  0.154255345464E+00
  0.926100015640E-01 -0.250276416540E+00  0.153842255473E+00
  0.933450013399E-01 -0.248276934028E+00  0.153422698379E+00
  0.940800011158E-01 -0.246280729771E+00  0.152996838093E+00
  0.948150008917E-01 -0.244287863374E+00  0.152564704418E+00
  0.955500006676E-01 -0.242298439145E+00  0.152126401663E+00
  0.962850004435E-01 -0.240312516689E+00  0.151682063937E+00
  0.970200002193E-01 -0.238330170512E+00  0.151231750846E+00
  0.977549999952E-01 -0.236351385713E+00  0.150775507092E+00
  0.984899997711E-01 -0.234376311302E+00  0.150313511491E+00
  0.992249995470E-01 -0.232404947281E+00  0.149845764041E+00
  0.999599993229E-01 -0.230437383056E+00  0.149372413754E+00
  0.100694999099E+00 -0.228473693132E+00  0.148893505335E+00
  0.101429998875E+00 -0.226513892412E+00  0.148409143090E+00
  0.102164998651E+00 -0.224558085203E+00  0.147919431329E+00
  0.102899998426E+00 -0.222606301308E+00  0.147424429655E+00
  0.103634998202E+00 -0.220658615232E+00  0.146924212575E+00
  0.104369997978E+00 -0.218715086579E+00  0.146418854594E+00
  0.105104997754E+00 -0.216775715351E+00  0.145908504725E+00
  0.105839997530E+00 -0.214840680361E+00  0.145393177867E+00
  0.106574997306E+00 -0.212909936905E+00  0.144872978330E+00
  0.107310004532E+00 -0.210983619094E+00  0.144347995520E+00
  0.108045004308E+00 -0.209061697125E+00  0.143818303943E+00
  0.108780004084E+00 -0.207144305110E+00  0.143283948302E+00
  0.109515003860E+00 -0.205231457949E+00  0.142745107412E+00
  0.110250003636E+00 -0.203323200345E+00  0.142201736569E+00
  0.110985003412E+00 -0.201419651508E+00  0.141653999686E+00
