  0.735000008717E-03  0.291266274452E+01 -0.727865338326E+00
  0.147000001743E-02 -0.134890532494E+01  0.296311199665E+00
  0.220500002615E-02 -0.134391403198E+01  0.300896257162E+00
  0.294000003487E-02 -0.133890104294E+01  0.305380642414E+00
  0.367500004359E-02 -0.133386647701E+01  0.309765607119E+00
  0.441000005230E-02 -0.132881176472E+01  0.314052999020E+00
  0.514500029385E-02 -0.132373678684E+01  0.318244248629E+00
  0.588000006974E-02 -0.131864225864E+01  0.322340697050E+00
  0.661499984562E-02 -0.131352949142E+01  0.326343983412E+00
  0.734999962151E-02 -0.130839836597E+01  0.330255448818E+00
  0.808500032872E-02 -0.130324971676E+01  0.334076553583E+00
  0.882000010461E-02 -0.129808413982E+01  0.337808698416E+00
  0.955499988049E-02 -0.129290187359E+01  0.341453373432E+00
  0.102899996564E-01 -0.128770411015E+01  0.345011800528E+00
  0.110250003636E-01 -0.128249049187E+01  0.348485350609E+00
  0.117600001395E-01 -0.127726221085E+01  0.351875424385E+00
  0.124949999154E-01 -0.127201938629E+01  0.355183243752E+00
  0.132299996912E-01 -0.126676249504E+01  0.358410209417E+00
  0.139649994671E-01 -0.126149189472E+01  0.361557453871E+00
  0.147000001743E-01 -0.125620818138E+01  0.364626348019E+00
  0.154349999502E-01 -0.125091183186E+01  0.367617964745E+00
  0.161700006574E-01 -0.124560296535E+01  0.370533645153E+00
  0.169050004333E-01 -0.124028205872E+01  0.373374521732E+00
  0.176400002092E-01 -0.123494958878E+01  0.376141786575E+00
  0.183749999851E-01 -0.122960591316E+01  0.378836542368E+00
  0.191099997610E-01 -0.122425127029E+01  0.381459891796E+00
  0.198449995369E-01 -0.121888601780E+01  0.384013026953E+00
  0.205799993128E-01 -0.121351051331E+01  0.386496990919E+00
  0.213150009513E-01 -0.120812523365E+01  0.388912886381E+00
  0.220500007272E-01 -0.120272994041E+01  0.391261726618E+00
  0.227850005031E-01 -0.119732546806E+01  0.393544554710E+00
  0.235200002789E-01 -0.119191205502E+01  0.395762443542E+00
  0.242550000548E-01 -0.118648970127E+01  0.397916287184E+00
  0.249899998307E-01 -0.118105912209E+01  0.400007098913E+00
  0.257249996066E-01 -0.117562007904E+01  0.402035921812E+00
  0.264599993825E-01 -0.117017316818E+01  0.404003560543E+00
  0.271949991584E-01 -0.116471862793E+01  0.405911058187E+00
  0.279300007969E-01 -0.115925657749E+01  0.407759249210E+00
  0.286650005728E-01 -0.115378701687E+01  0.409549176693E+00
  0.294000003487E-01 -0.114831089973E+01  0.411281496286E+00
  0.301350001246E-01 -0.114282810688E+01  0.412957251072E+00
  0.308699999005E-01 -0.113733863831E+01  0.414577215910E+00
  0.316050015390E-01 -0.113184261322E+01  0.416142255068E+00
  0.323400013149E-01 -0.112634074688E+01  0.417653083801E+00
  0.330750010908E-01 -0.112083315849E+01  0.419110715389E+00
  0.338100008667E-01 -0.111531972885E+01  0.420515775681E+00
  0.345450006425E-01 -0.110980105400E+01  0.421869009733E+00
  0.352800004184E-01 -0.110427713394E+01  0.423171311617E+00
  0.360150001943E-01 -0.109874808788E+01  0.424423336983E+00
  0.367499999702E-01 -0.109321439266E+01  0.425625860691E+00
  0.374849997461E-01 -0.108767592907E+01  0.426779597998E+00
  0.382199995220E-01 -0.108213317394E+01  0.427885174751E+00
  0.389549992979E-01 -0.107658612728E+01  0.428943455219E+00
  0.396899990737E-01 -0.107103490829E+01  0.429955005646E+00
  0.404249988496E-01 -0.106548023224E+01  0.430920541286E+00
  0.411599986255E-01 -0.105992162228E+01  0.431840658188E+00
  0.418950021267E-01 -0.105435943604E+01  0.432716041803E+00
  0.426300019026E-01 -0.104879403114E+01  0.433547407389E+00
  0.433650016785E-01 -0.104322576523E+01  0.434335231781E+00
  0.441000014544E-01 -0.103765439987E+01  0.435080200434E+00
  0.448350012302E-01 -0.103208017349E+01  0.435782968998E+00
  0.455700010061E-01 -0.102650356293E+01  0.436444073915E+00
  0.463050007820E-01 -0.102092444897E+01  0.437064081430E+00
  0.470400005579E-01 -0.101534330845E+01  0.437643587589E+00
  0.477750003338E-01 -0.100976002216E+01  0.438183128834E+00
  0.485100001097E-01 -0.100417482853E+01  0.438683331013E+00
  0.492449998856E-01 -0.998588025570E+00  0.439144700766E+00
  0.499799996614E-01 -0.992999672890E+00  0.439567774534E+00
  0.507149994373E-01 -0.987410128117E+00  0.439952969551E+00
  0.514499992132E-01 -0.981819152832E+00  0.440300971270E+00
  0.521849989891E-01 -0.976227462292E+00  0.440612196922E+00
  0.529199987650E-01 -0.970634877682E+00  0.440887272358E+00
  0.536549985409E-01 -0.965041756630E+00  0.441126465797E+00
  0.543900020421E-01 -0.959447979927E+00  0.441330462694E+00
  0.551250018179E-01 -0.953854024410E+00  0.441499620676E+00
  0.558600015938E-01 -0.948260009289E+00  0.441634416580E+00
  0.565950013697E-01 -0.942665874958E+00  0.441735446453E+00
  0.573300011456E-01 -0.937072038651E+00  0.441802948713E+00
  0.580650009215E-01 -0.931478559971E+00  0.441837549210E+00
  0.588000006974E-01 -0.925885915756E+00  0.441839575768E+00
  0.595350004733E-01 -0.920293688774E+00  0.441809594631E+00
  0.602700002491E-01 -0.914702475071E+00  0.441747903824E+00
  0.610050000250E-01 -0.909112393856E+00  0.441654950380E+00
  0.617399998009E-01 -0.903523564339E+00  0.441531181335E+00
  0.624749995768E-01 -0.897936105728E+00  0.441376954317E+00
  0.632100030780E-01 -0.892350435257E+00  0.441192656755E+00
  0.639450028539E-01 -0.886766374111E+00  0.440978825092E+00
  0.646800026298E-01 -0.881184279919E+00  0.440735727549E+00
  0.654150024056E-01 -0.875604391098E+00  0.440463781357E+00
  0.661500021815E-01 -0.870026707649E+00  0.440163344145E+00
  0.668850019574E-01 -0.864451587200E+00  0.439834833145E+00
  0.676200017333E-01 -0.858879029751E+00  0.439478516579E+00
  0.683550015092E-01 -0.853309273720E+00  0.439094930887E+00
  0.690900012851E-01 -0.847742676735E+00  0.438684284687E+00
  0.698250010610E-01 -0.842179059982E+00  0.438247025013E+00
  0.705600008368E-01 -0.836618840694E+00  0.437783420086E+00
  0.712950006127E-01 -0.831062138081E+00  0.437293827534E+00
  0.720300003886E-01 -0.825509190559E+00  0.436778694391E+00
  0.727650001645E-01 -0.819959998131E+00  0.436238199472E+00
  0.734999999404E-01 -0.814414858818E+00  0.435672760010E+00
  0.742349997163E-01 -0.808873951435E+00  0.435082733631E+00
  0.749699994922E-01 -0.803337454796E+00  0.434468388557E+00
  0.757049992681E-01 -0.797805488110E+00  0.433830052614E+00
  0.764399990439E-01 -0.792278289795E+00  0.433167994022E+00
  0.771749988198E-01 -0.786755919456E+00  0.432482659817E+00
  0.779099985957E-01 -0.781238675117E+00  0.431774228811E+00
  0.786449983716E-01 -0.775726675987E+00  0.431043088436E+00
  0.793799981475E-01 -0.770220041275E+00  0.430289477110E+00
  0.801149979234E-01 -0.764719128609E+00  0.429513692856E+00
  0.808499976993E-01 -0.759223937988E+00  0.428716093302E+00
  0.815849974751E-01 -0.753734767437E+00  0.427896946669E+00
  0.823199972510E-01 -0.748251616955E+00  0.427056521177E+00
  0.830550044775E-01 -0.742774665356E+00  0.426195055246E+00
  0.837900042534E-01 -0.737304449081E+00  0.425312936306E+00
  0.845250040293E-01 -0.731840670109E+00  0.424410372972E+00
  0.852600038052E-01 -0.726383864880E+00  0.423487663269E+00
  0.859950035810E-01 -0.720934033394E+00  0.422545105219E+00
  0.867300033569E-01 -0.715491294861E+00  0.421582877636E+00
  0.874650031328E-01 -0.710055768490E+00  0.420601427555E+00
  0.882000029087E-01 -0.704627931118E+00  0.419600754976E+00
  0.889350026846E-01 -0.699207723141E+00  0.418581396341E+00
  0.896700024605E-01 -0.693795382977E+00  0.417543411255E+00
  0.904050022364E-01 -0.688391089439E+00  0.416487216949E+00
  0.911400020123E-01 -0.682994961739E+00  0.415412902832E+00
  0.918750017881E-01 -0.677607119083E+00  0.414320856333E+00
  0.926100015640E-01 -0.672227859497E+00  0.413211286068E+00
  0.933450013399E-01 -0.666857302189E+00  0.412084430456E+00
  0.940800011158E-01 -0.661495566368E+00  0.410940557718E+00
  0.948150008917E-01 -0.656142950058E+00  0.409779936075E+00
  0.955500006676E-01 -0.650799453259E+00  0.408602654934E+00
  0.962850004435E-01 -0.645465433598E+00  0.407409161329E+00
  0.970200002193E-01 -0.640140831470E+00  0.406199663877E+00
  0.977549999952E-01 -0.634826004505E+00  0.404974222183E+00
  0.984899997711E-01 -0.629521131516E+00  0.403733313084E+00
  0.992249995470E-01 -0.624226152897E+00  0.402476936579E+00
  0.999599993229E-01 -0.618941366673E+00  0.401205539703E+00
  0.100694999099E+00 -0.613667011261E+00  0.399919271469E+00
  0.101429998875E+00 -0.608403086662E+00  0.398618310690E+00
  0.102164998651E+00 -0.603149831295E+00  0.397302955389E+00
  0.102899998426E+00 -0.597907543182E+00  0.395973354578E+00
  0.103634998202E+00 -0.592676103115E+00  0.394629836082E+00
  0.104369997978E+00 -0.587455928326E+00  0.393272519112E+00
  0.105104997754E+00 -0.582246959209E+00  0.391901671886E+00
