  0.735000008717E-03 -0.151640534401E+01  0.397928774357E+00
  0.147000001743E-02  0.150540399551E+01 -0.330688953400E+00
  0.220500002615E-02  0.149983370304E+01 -0.335805952549E+00
  0.294000003487E-02  0.149423897266E+01 -0.340810567141E+00
  0.367500004359E-02  0.148862040043E+01 -0.345704346895E+00
  0.441000005230E-02  0.148297905922E+01 -0.350489109755E+00
  0.514500029385E-02  0.147731530666E+01 -0.355166614056E+00
  0.588000006974E-02  0.147162997723E+01 -0.359738349915E+00
  0.661499984562E-02  0.146592378616E+01 -0.364206075668E+00
  0.734999962151E-02  0.146019744873E+01 -0.368571370840E+00
  0.808500032872E-02  0.145445156097E+01 -0.372835814953E+00
  0.882000010461E-02  0.144868648052E+01 -0.377000987530E+00
  0.955499988049E-02  0.144290316105E+01 -0.381068438292E+00
  0.102899996564E-01  0.143710219860E+01 -0.385039687157E+00
  0.110250003636E-01  0.143128383160E+01 -0.388916254044E+00
  0.117600001395E-01  0.142544901371E+01 -0.392699688673E+00
  0.124949999154E-01  0.141959798336E+01 -0.396391242743E+00
  0.132299996912E-01  0.141373109818E+01 -0.399992614985E+00
  0.139649994671E-01  0.140784895420E+01 -0.403505027294E+00
  0.147000001743E-01  0.140195238590E+01 -0.406929910183E+00
  0.154349999502E-01  0.139604139328E+01 -0.410268664360E+00
  0.161700006574E-01  0.139011669159E+01 -0.413522601128E+00
  0.169050004333E-01  0.138417851925E+01 -0.416693091393E+00
  0.176400002092E-01  0.137822735310E+01 -0.419781386852E+00
  0.183749999851E-01  0.137226366997E+01 -0.422788739204E+00
  0.191099997610E-01  0.136628782749E+01 -0.425716519356E+00
  0.198449995369E-01  0.136030006409E+01 -0.428565859795E+00
  0.205799993128E-01  0.135430085659E+01 -0.431338042021E+00
  0.213150009513E-01  0.134829068184E+01 -0.434034228325E+00
  0.220500007272E-01  0.134226965904E+01 -0.436655551195E+00
  0.227850005031E-01  0.133623814583E+01 -0.439203262329E+00
  0.235200002789E-01  0.133019661903E+01 -0.441678404808E+00
  0.242550000548E-01  0.132414531708E+01 -0.444082170725E+00
  0.249899998307E-01  0.131808435917E+01 -0.446415573359E+00
  0.257249996066E-01  0.131201434135E+01 -0.448679715395E+00
  0.264599993825E-01  0.130593562126E+01 -0.450875639915E+00
  0.271949991584E-01  0.129984819889E+01 -0.453004479408E+00
  0.279300007969E-01  0.129375231266E+01 -0.455067098141E+00
  0.286650005728E-01  0.128764843941E+01 -0.457064598799E+00
  0.294000003487E-01  0.128153681755E+01 -0.458997994661E+00
  0.301350001246E-01  0.127541780472E+01 -0.460868179798E+00
  0.308699999005E-01  0.126929140091E+01 -0.462676048279E+00
  0.316050015390E-01  0.126315796375E+01 -0.464422643185E+00
  0.323400013149E-01  0.125701773167E+01 -0.466108769178E+00
  0.330750010908E-01  0.125087118149E+01 -0.467735528946E+00
  0.338100008667E-01  0.124471807480E+01 -0.469303578138E+00
  0.345450006425E-01  0.123855912685E+01 -0.470813870430E+00
  0.352800004184E-01  0.123239421844E+01 -0.472267240286E+00
  0.360150001943E-01  0.122622382641E+01 -0.473664462566E+00
  0.367499999702E-01  0.122004806995E+01 -0.475006550550E+00
  0.374849997461E-01  0.121386706829E+01 -0.476294159889E+00
  0.382199995220E-01  0.120768117905E+01 -0.477528035641E+00
  0.389549992979E-01  0.120149052143E+01 -0.478709101677E+00
  0.396899990737E-01  0.119529545307E+01 -0.479837983847E+00
  0.404249988496E-01  0.118909609318E+01 -0.480915546417E+00
  0.411599986255E-01  0.118289256096E+01 -0.481942355633E+00
  0.418950021267E-01  0.117668521404E+01 -0.482919394970E+00
  0.426300019026E-01  0.117047417164E+01 -0.483847141266E+00
  0.433650016785E-01  0.116425979137E+01 -0.484726399183E+00
  0.441000014544E-01  0.115804207325E+01 -0.485557794571E+00
  0.448350012302E-01  0.115182137489E+01 -0.486342072487E+00
  0.455700010061E-01  0.114559757710E+01 -0.487079858780E+00
  0.463050007820E-01  0.113937139511E+01 -0.487771779299E+00
  0.470400005579E-01  0.113314247131E+01 -0.488418549299E+00
  0.477750003338E-01  0.112691152096E+01 -0.489020705223E+00
  0.485100001097E-01  0.112067818642E+01 -0.489578992128E+00
  0.492449998856E-01  0.111444318295E+01 -0.490093797445E+00
  0.499799996614E-01  0.110820651054E+01 -0.490565955639E+00
  0.507149994373E-01  0.110196840763E+01 -0.490995913744E+00
  0.514499992132E-01  0.109572899342E+01 -0.491384238005E+00
  0.521849989891E-01  0.108948850632E+01 -0.491731643677E+00
  0.529199987650E-01  0.108324706554E+01 -0.492038547993E+00
  0.536549985409E-01  0.107700490952E+01 -0.492305517197E+00
  0.543900020421E-01  0.107076215744E+01 -0.492533177137E+00
  0.551250018179E-01  0.106451916695E+01 -0.492721974850E+00
  0.558600015938E-01  0.105827605724E+01 -0.492872416973E+00
  0.565950013697E-01  0.105203294754E+01 -0.492985129356E+00
