           1               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)   (1.97929781118262366E-005,5.24850052590430808E-004)
           2               (0.0000000000000000,0.0000000000000000)  (2.93481729280662014E-004,-2.29845026719571310E-003)               (0.0000000000000000,0.0000000000000000)
           3               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)  (4.42802154804449648E-004,-1.12642713374917964E-003)
           4  (-1.04383880530892930E-005,4.59364076137743892E-003)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
           5               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
           6               (0.0000000000000000,0.0000000000000000)   (3.98360280735110886E-004,1.17753132989156014E-003)               (0.0000000000000000,0.0000000000000000)
           7               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)  (3.61218793890758774E-003,-3.38960647073180930E-003)
           8 (-4.40890525586470059E-004,-8.77648877379434483E-004)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
           9               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)   (5.48362070870077878E-002,3.71565146181535022E-002)
          10               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
          11               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)  (1.44270664285641977E-003,-2.62310174943520581E-004)
          12               (0.0000000000000000,0.0000000000000000) (-7.59104111672132594E-003,-1.78525522913036902E-002)               (0.0000000000000000,0.0000000000000000)
          13               (0.0000000000000000,0.0000000000000000)   (3.06624236863336109E-003,1.33654460868973812E-002)               (0.0000000000000000,0.0000000000000000)
          14               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000) (-5.40130792806492975E-003,-1.29598525846854684E-003)
          15 (-4.17761498823933288E-003,-1.88757195121135972E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
          16   (6.91921433461788627E-003,1.77618631692898904E-002)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
