           1             (-1.1767801527933111,0.23771981925900826)  (-1.70965991293194027E-015,4.43527520595476864E-016)  (3.21071447804084073E-011,-4.67534306263603072E-012)
           2 (-3.64066681232088908E-011,-4.58128345148437619E-011) (-1.62127589789370003E-011,-2.16551906600161268E-011)       (-4.39419150194875624E-002,0.24520696937260567)
           3        (3.84255310017608681E-002,0.46882725720792029)   (2.40315344094810291E-016,5.58836718096377685E-016) (-1.04679307936801647E-012,-8.30240054451737517E-012)
           4               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
           5              (1.3793830003472456,0.26570078834027433) (-2.59829762005165665E-015,-7.82611106295691719E-016) (-4.46839396370174509E-011,-1.12606056254836550E-011)
           6  (-1.35253864883631165E-011,3.35182213480473369E-011)  (-5.63692651173696092E-012,1.41438757112712410E-011)            (-0.48824763266827975,0.44547113608115896)
           7           (-0.49402786205045629,-0.50881409153233181)   (7.60117351750044627E-016,1.23185109760994935E-015)   (1.39139248674965479E-011,1.22564741617331888E-011)
           8               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
           9 (-1.04250970402069911E-015,-3.02555226755835758E-016)              (1.3835146181028470,0.29657790541430845) (-4.29186409127484618E-011,-1.35268113242236532E-011)
          10 (-9.36658164893956577E-012,-8.89790484057547285E-015) (-2.30801225051244128E-012,-5.17023580693505464E-015)   (1.08757869336509005E-004,3.10706221491840984E-005)
          11      (-0.31170415493153919,-9.59109037535069153E-002)  (-1.43670637210775107E-018,9.98105408624861589E-017)   (5.48426546499793211E-011,4.49161094160970977E-012)
          12   (4.46050736204306127E-011,9.29360526249744789E-013)   (1.85532016793508641E-011,3.59896444672529261E-013)       (0.31282810938402467,-6.26787672853790362E-002)
          13        (0.21130662409980766,8.10892193426477059E-002)   (7.07482830723448084E-017,7.06953098694011141E-018) (-4.13714682232564117E-011,-2.57362168046494265E-012)
          14               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
          15  (2.70819552621777062E-016,-2.46051020088379700E-017)           (-0.32354359287001661,-0.12729153775024443) (-8.36748201797166986E-012,-1.20890006042756023E-012)
          16               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
          17               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
          18   (8.41900559513982900E-013,5.20077697846471589E-014) (-2.67044796553095923E-012,-2.35472989837480249E-013)   (2.02516402585269141E-005,1.16107351034162003E-005)
          19   (3.84124307477308607E-002,1.55194493534351764E-002)  (-5.25905576776830052E-017,1.07719683721346453E-017) (-1.08339407691182214E-011,-1.75865899556931118E-012)
          20 (-9.23085017906058004E-012,-2.35030818118086284E-012) (-2.44429143081476375E-012,-1.09839486952039728E-012)  (-2.14346390818910375E-002,2.46877449171232187E-002)
          21 (-3.33688116807558874E-002,-1.08470560572068234E-002)  (-6.93064162424339764E-017,1.64207443057618375E-017)   (9.06359019185942021E-012,9.22569966502863657E-013)
          22               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
          23  (2.81820545827796294E-017,-1.96866537159096849E-017)   (3.95523447160916197E-002,1.88252985716314651E-002)  (-6.02388428093543355E-014,2.37922526563990996E-014)
          24               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
          25               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
          26 (-7.68518849103988141E-003,-9.14953152782489731E-003)   (3.33296665792585336E-016,1.01044032369413703E-016) (-9.51837746327238942E-013,-5.00264848778707310E-013)
          27   (7.09989583207898123E-002,8.68614888459270512E-002)  (9.42150021871859650E-017,-1.03147313376668347E-016) (-2.49753572784640789E-012,-1.31038028814377177E-012)
          28               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
          29               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
          30 (-3.21131682409763233E-016,-7.04199260926075390E-017)   (2.16931893509673436E-002,4.20087926474854625E-003)  (-3.17946049701748090E-012,1.13900340716771674E-012)
          31               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
          32               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
          33   (9.38309286928635557E-003,1.36809758118113210E-002)  (-3.87214791920350637E-016,1.01321235692778534E-016)  (8.21258748476549055E-013,-9.36681777010300131E-013)
          34               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
          35   (4.32099982525576166E-016,1.68361325121191859E-016)      (-0.20088329489204576,-5.37800922668953268E-002) (-3.20603142700753083E-012,-4.81346746639571719E-012)
          36 (-1.50750330538181445E-012,-1.19511704247546177E-013)   (2.93900203423906931E-012,2.37368427874790717E-013)   (4.70360882161835255E-006,1.24006616698291007E-005)
          37      (-0.16130983912680000,-4.57344407501704547E-002) (-8.31908504101572937E-016,-2.77324956470887594E-016) (-2.27889559755388011E-012,-2.38975575189933076E-012)
          38  (-1.43919431622822761E-003,2.53185294642634953E-004) (-4.35947910973985466E-017,-2.56914168739409438E-017) (-3.11153692523647089E-013,-5.10733964406545139E-013)
          39  (1.31018459619176883E-011,-1.12500073722874792E-013)  (1.18924145228085494E-012,-1.33443022245598384E-013)   (5.01078648714162509E-005,4.11329907742588512E-005)
          40 (-1.39353304330389329E-013,-6.51526153082759063E-014)  (-7.36607865787061977E-014,1.07742614877295431E-013)  (-2.91575944392217243E-003,1.87778754464210172E-003)
          41   (4.38811120366383658E-002,1.47339999991697602E-002)  (-1.51947776399883192E-016,3.17203760063619236E-016)  (1.30249246154947178E-012,-8.38012727683291248E-013)
          42   (2.43751832397878267E-003,3.79311629382379127E-004) (-2.90584152792505233E-017,-2.05559796884777080E-017)   (3.59957227790496701E-013,3.80029592374450658E-013)
          43   (1.43479299004149255E-002,6.52840958880113523E-003)   (5.56332628219161425E-016,1.46150511250199064E-016)  (-3.64266645624356334E-013,1.25516768240716637E-012)
          44               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
          45  (-8.39970216809622609E-012,6.50702498210922995E-012) (-2.95332082878471991E-012,-1.58393782558512544E-014) (-3.43626870428641457E-002,-1.52625433383757770E-002)
          46   (5.78782251980706743E-017,9.25447681903929733E-018)  (-3.29034717506703498E-003,5.67502233950699635E-004) (-2.12570526127221793E-012,-7.01210255476816191E-013)
          47 (-6.98415027679126248E-013,-1.33926261219944241E-012)  (9.84015803715627538E-013,-5.73499259549489879E-013)   (3.15564163309167492E-002,1.43895563348427433E-002)
          48               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
          49   (1.25943554530714693E-011,1.52681534119371788E-011)   (5.87221871114703934E-012,7.07100294311659326E-012) (-1.25031432694623339E-002,-5.02509682218312166E-003)
          50               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
