       N2_  0.127663260707E+05  0.700335000000E+01
    01   -->    00    0.1858177362E+04
    02   -->    01    0.1834407052E+04
    03   -->    02    0.1803196479E+04
    04   -->    03    0.1773545611E+04
    05   -->    04    0.1744142110E+04
    06   -->    05    0.1714438929E+04
    07   -->    06    0.1684720566E+04
    08   -->    07    0.1655134353E+04
    09   -->    08    0.1625679098E+04
    10   -->    09    0.1596117997E+04
    11   -->    10    0.1566665286E+04
    12   -->    11    0.1537160885E+04
    13   -->    12    0.1507643470E+04
    14   -->    13    0.1478184737E+04
    15   -->    14    0.1448717258E+04
    16   -->    15    0.1419271312E+04
    17   -->    16    0.1389743073E+04
    18   -->    17    0.1360110876E+04
    19   -->    18    0.1330437024E+04
    20   -->    19    0.1300781194E+04
    21   -->    20    0.1271199743E+04
    22   -->    21    0.1241601492E+04
    23   -->    22    0.1211920615E+04
    24   -->    23    0.1182163055E+04
    25   -->    24    0.1152318517E+04
    26   -->    25    0.1122435899E+04
    27   -->    26    0.1092565053E+04
    28   -->    27    0.1062724635E+04
    29   -->    28    0.1032856699E+04
    30   -->    29    0.1002940675E+04
    31   -->    30    0.9731508691E+03
    32   -->    31    0.9436401214E+03
    33   -->    32    0.9143449489E+03
    34   -->    33    0.8851289647E+03
    35   -->    34    0.8560768619E+03
    36   -->    35    0.8273947782E+03
    37   -->    36    0.7992305428E+03
    38   -->    37    0.7715749176E+03
    39   -->    38    0.7441817256E+03
    40   -->    39    0.7171191516E+03
    41   -->    40    0.6908815363E+03
    42   -->    41    0.6652530786E+03
    43   -->    42    0.6397238067E+03
    44   -->    43    0.6146250738E+03
    45   -->    44    0.5900436471E+03
    46   -->    45    0.5657107583E+03
    47   -->    46    0.5417082871E+03
    48   -->    47    0.5178624028E+03
    49   -->    48    0.4941245025E+03
    50   -->    49    0.4705815870E+03
    51   -->    50    0.4467720176E+03
    52   -->    51    0.4228133081E+03
    53   -->    52    0.3989913853E+03
    54   -->    53    0.3748933728E+03
    55   -->    54    0.3506927729E+03
    56   -->    55    0.3261427467E+03
    57   -->    56    0.3011431993E+03
    58   -->    57    0.2755704543E+03
    59   -->    58    0.2497092335E+03
    60   -->    59    0.2239228139E+03
