       N2_  0.127663260707E+05  0.700335000000E+01
    01   -->    00    0.1860259983E+04
    02   -->    01    0.1833612156E+04
    03   -->    02    0.1803128661E+04
    04   -->    03    0.1773703488E+04
    05   -->    04    0.1744161785E+04
    06   -->    05    0.1714542868E+04
    07   -->    06    0.1684736208E+04
    08   -->    07    0.1655128024E+04
    09   -->    08    0.1625620244E+04
    10   -->    09    0.1596102841E+04
    11   -->    10    0.1566635411E+04
    12   -->    11    0.1537145051E+04
    13   -->    12    0.1507666548E+04
    14   -->    13    0.1478188324E+04
    15   -->    14    0.1448740025E+04
    16   -->    15    0.1419301187E+04
    17   -->    16    0.1389757509E+04
    18   -->    17    0.1360128235E+04
    19   -->    18    0.1330460491E+04
    20   -->    19    0.1300825338E+04
    21   -->    20    0.1271251894E+04
    22   -->    21    0.1241637781E+04
    23   -->    22    0.1211956155E+04
    24   -->    23    0.1182201204E+04
    25   -->    24    0.1152353509E+04
    26   -->    25    0.1122467270E+04
    27   -->    26    0.1092597008E+04
    28   -->    27    0.1062757081E+04
    29   -->    28    0.1032863955E+04
    30   -->    29    0.1002933532E+04
    31   -->    30    0.9731556275E+03
    32   -->    31    0.9436503788E+03
    33   -->    32    0.9143349979E+03
    34   -->    33    0.8851063549E+03
    35   -->    34    0.8560618201E+03
    36   -->    35    0.8273729909E+03
    37   -->    36    0.7992184698E+03
    38   -->    37    0.7715670874E+03
    39   -->    38    0.7441395361E+03
    40   -->    39    0.7170924001E+03
    41   -->    40    0.6908928875E+03
    42   -->    41    0.6652193264E+03
    43   -->    42    0.6396905274E+03
    44   -->    43    0.6146306032E+03
    45   -->    44    0.5900191916E+03
    46   -->    45    0.5656946212E+03
    47   -->    46    0.5417071892E+03
    48   -->    47    0.5178425328E+03
    49   -->    48    0.4941200162E+03
    50   -->    49    0.4705818950E+03
    51   -->    50    0.4467540339E+03
    52   -->    51    0.4228218262E+03
    53   -->    52    0.3989816771E+03
    54   -->    53    0.3748966568E+03
    55   -->    54    0.3506910355E+03
    56   -->    55    0.3261471756E+03
    57   -->    56    0.3011434948E+03
    58   -->    57    0.2755771497E+03
    59   -->    58    0.2497127614E+03
    60   -->    59    0.2239269509E+03
    61   -->    60    0.1979932408E+03
    62   -->    61    0.1719194013E+03
    63   -->    62    0.1461608369E+03
    64   -->    63    0.1209628678E+03
    65   -->    64    0.9724167186E+02
    66   -->    65    0.7381554227E+02
    67   -->    66    0.4936851446E+02
    68   -->    67    0.4176193025E+02
    69   -->    68    0.5006529759E+02
    70   -->    69    0.5892787354E+02
    71   -->    70    0.6694486806E+02
    72   -->    71    0.7416742068E+02
    73   -->    72    0.8077486343E+02
    74   -->    73    0.8692645450E+02
    75   -->    74    0.9270866393E+02
    76   -->    75    0.9819978721E+02
    77   -->    76    0.1034467856E+03
    78   -->    77    0.1084929439E+03
    79   -->    78    0.1133590237E+03
    80   -->    79    0.1180749738E+03
    81   -->    80    0.1226548599E+03
    82   -->    81    0.1271149563E+03
    83   -->    82    0.1314676132E+03
    84   -->    83    0.1357222975E+03
    85   -->    84    0.1398884480E+03
    86   -->    85    0.1439739937E+03
    87   -->    86    0.1479841703E+03
    88   -->    87    0.1519255115E+03
    89   -->    88    0.1558034444E+03
    90   -->    89    0.1596214201E+03
    91   -->    90    0.1633837189E+03
    92   -->    91    0.1670945967E+03
    93   -->    92    0.1707561357E+03
    94   -->    93    0.1743718264E+03
    95   -->    94    0.1779442894E+03
    96   -->    95    0.1814756082E+03
    97   -->    96    0.1849680006E+03
    98   -->    97    0.1884236927E+03
    99   -->    98    0.1918442798E+03
   100   -->    99    0.1952313904E+03
   101   -->   100    0.1985871195E+03
   102   -->   101    0.2019122409E+03
   103   -->   102    0.2052082535E+03
   104   -->   103    0.2084765858E+03
   105   -->   104    0.2117181246E+03
   106   -->   105    0.2149342552E+03
   107   -->   106    0.2181259377E+03
   108   -->   107    0.2212940769E+03
   109   -->   108    0.2244395907E+03
   110   -->   109    0.2275630450E+03
   111   -->   110    0.2306654012E+03
   112   -->   111    0.2337475626E+03
   113   -->   112    0.2368100854E+03
   114   -->   113    0.2398539125E+03
   115   -->   114    0.2428794054E+03
   116   -->   115    0.2458869887E+03
   117   -->   116    0.2488774084E+03
   118   -->   117    0.2518512204E+03
   119   -->   118    0.2548091188E+03
   120   -->   119    0.2577513819E+03
   121   -->   120    0.2606785359E+03
   122   -->   121    0.2635909624E+03
   123   -->   122    0.2664889881E+03
   124   -->   123    0.2693731333E+03
   125   -->   124    0.2722439099E+03
   126   -->   125    0.2751017762E+03
   127   -->   126    0.2779467174E+03
   128   -->   127    0.2807789276E+03
   129   -->   128    0.2835992475E+03
   130   -->   129    0.2864079744E+03
   131   -->   130    0.2892051872E+03
   132   -->   131    0.2919908383E+03
   133   -->   132    0.2947657457E+03
   134   -->   133    0.2975301625E+03
   135   -->   134    0.3002839929E+03
   136   -->   135    0.3030275523E+03
   137   -->   136    0.3057613166E+03
   138   -->   137    0.3084854808E+03
   139   -->   138    0.3111999480E+03
   140   -->   139    0.3139050911E+03
   141   -->   140    0.3166013914E+03
   142   -->   141    0.3192887302E+03
   143   -->   142    0.3219672270E+03
   144   -->   143    0.3246372916E+03
   145   -->   144    0.3272991932E+03
   146   -->   145    0.3299527692E+03
   147   -->   146    0.3325983378E+03
   148   -->   147    0.3352361668E+03
   149   -->   148    0.3378663268E+03
   150   -->   149    0.3404888824E+03
   151   -->   150    0.3431040751E+03
   152   -->   151    0.3457120865E+03
   153   -->   152    0.3483129414E+03
   154   -->   153    0.3509068208E+03
   155   -->   154    0.3534938967E+03
   156   -->   155    0.3560742210E+03
   157   -->   156    0.3586479262E+03
   158   -->   157    0.3612151791E+03
   159   -->   158    0.3637760701E+03
   160   -->   159    0.3663306578E+03
   161   -->   160    0.3688791407E+03
   162   -->   161    0.3714215689E+03
   163   -->   162    0.3739580732E+03
   164   -->   163    0.3764887232E+03
   165   -->   164    0.3790136286E+03
   166   -->   165    0.3815328603E+03
   167   -->   166    0.3840465553E+03
   168   -->   167    0.3865547743E+03
   169   -->   168    0.3890575874E+03
   170   -->   169    0.3915551041E+03
   171   -->   170    0.3940474116E+03
   172   -->   171    0.3965345771E+03
   173   -->   172    0.3990166599E+03
   174   -->   173    0.4014937851E+03
   175   -->   174    0.4039659967E+03
   176   -->   175    0.4064333664E+03
   177   -->   176    0.4088959418E+03
   178   -->   177    0.4113538104E+03
   179   -->   178    0.4138070619E+03
   180   -->   179    0.4162557268E+03
   181   -->   180    0.4186999093E+03
   182   -->   181    0.4211396191E+03
   183   -->   182    0.4235749500E+03
   184   -->   183    0.4260059480E+03
   185   -->   184    0.4284327322E+03
   186   -->   185    0.4308552897E+03
   187   -->   186    0.4332737200E+03
   188   -->   187    0.4356879827E+03
   189   -->   188    0.4380982526E+03
   190   -->   189    0.4405045087E+03
   191   -->   190    0.4429069034E+03
   192   -->   191    0.4453053251E+03
   193   -->   192    0.4476999411E+03
   194   -->   193    0.4500907267E+03
   195   -->   194    0.4524778611E+03
   196   -->   195    0.4548611877E+03
   197   -->   196    0.4572409233E+03
   198   -->   197    0.4596169709E+03
   199   -->   198    0.4619895993E+03
   200   -->   199    0.4643585555E+03
   201   -->   200    0.4667241247E+03
   202   -->   201    0.4690861455E+03
   203   -->   202    0.4714449575E+03
   204   -->   203    0.4738001595E+03
   205   -->   204    0.4761521979E+03
   206   -->   205    0.4785007701E+03
   207   -->   206    0.4808463540E+03
   208   -->   207    0.4831884194E+03
   209   -->   208    0.4855275686E+03
   210   -->   209    0.4878632464E+03
   211   -->   210    0.4901962636E+03
   212   -->   211    0.4925257641E+03
   213   -->   212    0.4948526170E+03
   214   -->   213    0.4971760486E+03
   215   -->   214    0.4994971274E+03
   216   -->   215    0.5018145561E+03
   217   -->   216    0.5041298054E+03
   218   -->   217    0.5064414674E+03
   219   -->   218    0.5087511219E+03
   220   -->   219    0.5110570346E+03
   221   -->   220    0.5133612799E+03
   222   -->   221    0.5156615874E+03
   223   -->   222    0.5179605485E+03
   224   -->   223    0.5202554019E+03
   225   -->   224    0.5225492330E+03
   226   -->   225    0.5248387145E+03
   227   -->   226    0.5271276489E+03
   228   -->   227    0.5294118020E+03
   229   -->   228    0.5316959605E+03
   230   -->   229    0.5339749233E+03
   231   -->   230    0.5362544798E+03
   232   -->   231    0.5385282832E+03
   233   -->   232    0.5408034703E+03
   234   -->   233    0.5430721521E+03
   235   -->   234    0.5453431628E+03
   236   -->   235    0.5476067870E+03
   237   -->   236    0.5498738442E+03
   238   -->   237    0.5521324070E+03
   239   -->   238    0.5543957681E+03
   240   -->   239    0.5566492475E+03
   241   -->   240    0.5589091944E+03
   242   -->   241    0.5611575322E+03
   243   -->   242    0.5634143640E+03
   244   -->   243    0.5656574775E+03
   245   -->   244    0.5679115439E+03
   246   -->   245    0.5701492889E+03
   247   -->   246    0.5724009906E+03
   248   -->   247    0.5746331555E+03
   249   -->   248    0.5768829300E+03
   250   -->   249    0.5791092372E+03
   251   -->   250    0.5813576172E+03
   252   -->   251    0.5835777024E+03
   253   -->   252    0.5858252771E+03
   254   -->   253    0.5880386616E+03
   255   -->   254    0.5902861443E+03
   256   -->   255    0.5924922140E+03
   257   -->   256    0.5947404372E+03
   258   -->   257    0.5969384489E+03
   259   -->   258    0.5991883932E+03
   260   -->   259    0.6013773881E+03
   261   -->   260    0.6036302297E+03
   262   -->   261    0.6058090581E+03
   263   -->   262    0.6080662039E+03
   264   -->   263    0.6102334570E+03
   265   -->   264    0.6124965861E+03
   266   -->   265    0.6146505169E+03
   267   -->   266    0.6169216302E+03
   268   -->   267    0.6190601301E+03
   269   -->   268    0.6213416283E+03
   270   -->   269    0.6234621217E+03
   271   -->   270    0.6257568728E+03
   272   -->   271    0.6278562759E+03
   273   -->   272    0.6301677637E+03
   274   -->   273    0.6322423654E+03
   275   -->   274    0.6345747435E+03
   276   -->   275    0.6366200801E+03
   277   -->   276    0.6389783494E+03
   278   -->   277    0.6409890486E+03
   279   -->   278    0.6433791293E+03
   280   -->   279    0.6453487316E+03
   281   -->   280    0.6477777938E+03
   282   -->   281    0.6496986224E+03
   283   -->   282    0.6521751529E+03
   284   -->   283    0.6540379990E+03
   285   -->   284    0.6565722049E+03
   286   -->   285    0.6583660928E+03
   287   -->   286    0.6609700249E+03
   288   -->   287    0.6626818793E+03
   289   -->   288    0.6653699497E+03
   290   -->   289    0.6669841784E+03
   291   -->   290    0.6697734650E+03
   292   -->   291    0.6712716069E+03
   293   -->   292    0.6741823079E+03
   294   -->   293    0.6755423785E+03
   295   -->   294    0.6785984501E+03
   296   -->   295    0.6797944995E+03
   297   -->   296    0.6830241968E+03
   298   -->   297    0.6840255070E+03
   299   -->   298    0.6874622788E+03
   300   -->   299    0.6882326182E+03
   301   -->   300    0.6919157182E+03
   302   -->   301    0.6924124851E+03
   303   -->   302    0.6963882008E+03
   304   -->   303    0.6965612040E+03
   305   -->   304    0.7008838529E+03
   306   -->   305    0.7006742736E+03
   307   -->   306    0.7054074849E+03
   308   -->   307    0.7047464119E+03
   309   -->   308    0.7099646725E+03
   310   -->   309    0.7087715654E+03
   311   -->   310    0.7145618410E+03
   312   -->   311    0.7127426768E+03
   313   -->   312    0.7192063499E+03
   314   -->   313    0.7166516528E+03
   315   -->   314    0.7239066506E+03
   316   -->   315    0.7204892144E+03
   317   -->   316    0.7286724603E+03
   318   -->   317    0.7242447460E+03
   319   -->   318    0.7335149211E+03
   320   -->   319    0.7279061940E+03
   321   -->   320    0.7384467242E+03
   322   -->   321    0.7314598073E+03
   323   -->   322    0.7434822633E+03
   324   -->   323    0.7348899774E+03
   325   -->   324    0.7486378582E+03
   326   -->   325    0.7381790697E+03
   327   -->   326    0.7539319432E+03
   328   -->   327    0.7413072388E+03
   329   -->   328    0.7593852859E+03
   330   -->   329    0.7442522019E+03
   331   -->   330    0.7650211324E+03
   332   -->   331    0.7469890078E+03
   333   -->   332    0.7708654135E+03
   334   -->   333    0.7494898576E+03
   335   -->   334    0.7769469620E+03
   336   -->   335    0.7517239730E+03
   337   -->   336    0.7832977052E+03
   338   -->   337    0.7536574546E+03
   339   -->   338    0.7899527987E+03
   340   -->   339    0.7552531562E+03
   341   -->   340    0.7969507153E+03
   342   -->   341    0.7564706686E+03
   343   -->   342    0.8043332920E+03
   344   -->   343    0.7572663457E+03
   345   -->   344    0.8121457070E+03
   346   -->   345    0.7575934947E+03
   347   -->   346    0.8204363259E+03
   348   -->   347    0.7574026373E+03
   349   -->   348    0.8292564067E+03
   350   -->   349    0.7566419338E+03
   351   -->   350    0.8386596611E+03
   352   -->   351    0.7552578502E+03
   353   -->   352    0.8487016035E+03
   354   -->   353    0.7531959745E+03
   355   -->   354    0.8594386672E+03
   356   -->   355    0.7504021249E+03
   357   -->   356    0.8709270926E+03
   358   -->   357    0.7468237074E+03
   359   -->   358    0.8832215053E+03
   360   -->   359    0.7424113228E+03
   361   -->   360    0.8963732546E+03
   362   -->   361    0.7371207079E+03
   363   -->   362    0.9104284690E+03
   364   -->   363    0.7309148228E+03
   365   -->   364    0.9254258769E+03
   366   -->   365    0.7237662024E+03
   367   -->   366    0.9413944888E+03
   368   -->   367    0.7156592949E+03
   369   -->   368    0.9583512172E+03
   370   -->   369    0.7065927876E+03
   371   -->   370    0.9762985607E+03
   372   -->   371    0.6965814925E+03
   373   -->   372    0.9952226258E+03
   374   -->   373    0.6856578873E+03
   375   -->   374    0.1015091541E+04
   376   -->   375    0.6738728927E+03
   377   -->   376    0.1035854735E+04
   378   -->   377    0.6612958532E+03
   379   -->   378    0.1057442940E+04
   380   -->   379    0.6480134131E+03
   381   -->   380    0.1079769269E+04
   382   -->   381    0.6341273161E+03
   383   -->   382    0.1102731360E+04
   384   -->   383    0.6197514029E+03
   385   -->   384    0.1126214409E+04
   386   -->   385    0.6050078703E+03
   387   -->   386    0.1150095072E+04
   388   -->   387    0.5900228533E+03
   389   -->   388    0.1174245728E+04
   390   -->   389    0.5749220885E+03
   391   -->   390    0.1198538960E+04
   392   -->   391    0.5598266261E+03
   393   -->   392    0.1222851877E+04
   394   -->   393    0.5448491247E+03
   395   -->   394    0.1247069785E+04
   396   -->   395    0.5300909316E+03
   397   -->   396    0.1271089206E+04
   398   -->   397    0.5156400872E+03
   399   -->   398    0.1294819939E+04
   400   -->   399    0.5015701955E+03
   401   -->   400    0.1318186229E+04
   402   -->   401    0.4879401127E+03
   403   -->   402    0.1341127117E+04
   404   -->   403    0.4747943889E+03
   405   -->   404    0.1363596035E+04
   406   -->   405    0.4621641978E+03
   407   -->   406    0.1385559873E+04
   408   -->   407    0.4500687183E+03
   409   -->   408    0.1406997659E+04
   410   -->   409    0.4385166622E+03
   411   -->   410    0.1427899006E+04
   412   -->   411    0.4275079058E+03
   413   -->   412    0.1448262469E+04
   414   -->   413    0.4170351555E+03
   415   -->   414    0.1468093890E+04
   416   -->   415    0.4070855204E+03
   417   -->   416    0.1487404846E+04
   418   -->   417    0.3976419299E+03
   419   -->   418    0.1506211261E+04
   420   -->   419    0.3886842830E+03
   421   -->   420    0.1524532214E+04
   422   -->   421    0.3801904637E+03
   423   -->   422    0.1542388890E+04
   424   -->   423    0.3721372418E+03
   425   -->   424    0.1559803709E+04
   426   -->   425    0.3645009781E+03
   427   -->   426    0.1576799646E+04
   428   -->   427    0.3572581128E+03
   429   -->   428    0.1593399721E+04
   430   -->   429    0.3503854996E+03
   431   -->   430    0.1609626624E+04
   432   -->   431    0.3438606912E+03
   433   -->   432    0.1625502397E+04
   434   -->   433    0.3376622110E+03
   435   -->   434    0.1641048212E+04
   436   -->   435    0.3317696535E+03
   437   -->   436    0.1656284263E+04
   438   -->   437    0.3261637085E+03
   439   -->   438    0.1671229704E+04
   440   -->   439    0.3208261764E+03
   441   -->   440    0.1685902612E+04
   442   -->   441    0.3157399838E+03
   443   -->   442    0.1700319969E+04
   444   -->   443    0.3108891938E+03
   445   -->   444    0.1714497672E+04
   446   -->   445    0.3062589409E+03
   447   -->   446    0.1728450558E+04
   448   -->   447    0.3018354065E+03
   449   -->   448    0.1742192441E+04
   450   -->   449    0.2976057847E+03
   451   -->   450    0.1755736154E+04
   452   -->   451    0.2935582003E+03
   453   -->   452    0.1769093603E+04
   454   -->   453    0.2896816810E+03
   455   -->   454    0.1782275833E+04
   456   -->   455    0.2859660488E+03
   457   -->   456    0.1795293089E+04
   458   -->   457    0.2824018894E+03
   459   -->   458    0.1808154878E+04
   460   -->   459    0.2789804605E+03
   461   -->   460    0.1820870043E+04
   462   -->   461    0.2756936424E+03
   463   -->   462    0.1833446798E+04
   464   -->   463    0.2725338870E+03
   465   -->   464    0.1845892791E+04
   466   -->   465    0.2694941846E+03
   467   -->   466    0.1858215121E+04
   468   -->   467    0.2665680412E+03
   469   -->   468    0.1870420395E+04
   470   -->   469    0.2637493994E+03
   471   -->   470    0.1882514797E+04
   472   -->   471    0.2610325695E+03
   473   -->   472    0.1894504103E+04
   474   -->   473    0.2584122551E+03
   475   -->   474    0.1906393701E+04
   476   -->   475    0.2558835233E+03
   477   -->   476    0.1918188606E+04
   478   -->   477    0.2534418123E+03
   479   -->   478    0.1929893503E+04
   480   -->   479    0.2510828015E+03
   481   -->   480    0.1941512814E+04
   482   -->   481    0.2488024196E+03
   483   -->   482    0.1953050678E+04
   484   -->   483    0.2465968875E+03
   485   -->   484    0.1964510954E+04
   486   -->   485    0.2444626775E+03
   487   -->   486    0.1975897243E+04
   488   -->   487    0.2423965007E+03
   489   -->   488    0.1987212902E+04
   490   -->   489    0.2403953048E+03
   491   -->   490    0.1998461065E+04
   492   -->   491    0.2384562286E+03
   493   -->   492    0.2009644673E+04
   494   -->   493    0.2365765845E+03
   495   -->   494    0.2020766481E+04
   496   -->   495    0.2347538612E+03
   497   -->   496    0.2031829084E+04
   498   -->   497    0.2329856840E+03
   499   -->   498    0.2042834921E+04
   500   -->   499    0.2312698240E+03
   501   -->   500    0.2053786294E+04
   502   -->   501    0.2296041758E+03
   503   -->   502    0.2064685379E+04
   504   -->   503    0.2279867420E+03
   505   -->   504    0.2075534235E+04
   506   -->   505    0.2264156392E+03
   507   -->   506    0.2086334800E+04
   508   -->   507    0.2248890991E+03
   509   -->   508    0.2097088901E+04
   510   -->   509    0.2234054551E+03
   511   -->   510    0.2107798266E+04
   512   -->   511    0.2219631217E+03
   513   -->   512    0.2118464547E+04
   514   -->   513    0.2205605722E+03
   515   -->   514    0.2129089316E+04
   516   -->   515    0.2191963674E+03
   517   -->   516    0.2139674046E+04
   518   -->   517    0.2178691730E+03
   519   -->   518    0.2150220119E+04
   520   -->   519    0.2165777350E+03
   521   -->   520    0.2160728845E+04
   522   -->   521    0.2153208517E+03
   523   -->   522    0.2171201482E+04
   524   -->   523    0.2140973553E+03
   525   -->   524    0.2181639232E+04
   526   -->   525    0.2129061478E+03
   527   -->   526    0.2192043214E+04
   528   -->   527    0.2117462309E+03
   529   -->   528    0.2202414473E+04
   530   -->   529    0.2106166527E+03
   531   -->   530    0.2212754020E+04
   532   -->   531    0.2095164779E+03
   533   -->   532    0.2223062838E+04
   534   -->   533    0.2084447896E+03
   535   -->   534    0.2233341875E+04
   536   -->   535    0.2074007223E+03
   537   -->   536    0.2243592035E+04
   538   -->   537    0.2063834423E+03
   539   -->   538    0.2253814193E+04
   540   -->   539    0.2053921383E+03
   541   -->   540    0.2264009184E+04
   542   -->   541    0.2044260509E+03
   543   -->   542    0.2274177803E+04
   544   -->   543    0.2034844439E+03
   545   -->   544    0.2284320811E+04
   546   -->   545    0.2025666234E+03
   547   -->   546    0.2294438934E+04
   548   -->   547    0.2016719215E+03
   549   -->   548    0.2304532869E+04
   550   -->   549    0.2007996982E+03
   551   -->   550    0.2314603277E+04
   552   -->   551    0.1999493505E+03
   553   -->   552    0.2324650795E+04
   554   -->   553    0.1991202927E+03
   555   -->   554    0.2334676034E+04
   556   -->   555    0.1983119578E+03
   557   -->   556    0.2344679587E+04
   558   -->   557    0.1975237984E+03
   559   -->   558    0.2354662018E+04
   560   -->   559    0.1967553031E+03
   561   -->   560    0.2364623844E+04
   562   -->   561    0.1960060168E+03
   563   -->   562    0.2374565562E+04
   564   -->   563    0.1952754765E+03
   565   -->   564    0.2384487661E+04
   566   -->   565    0.1945632231E+03
   567   -->   566    0.2394390622E+04
   568   -->   567    0.1938688102E+03
   569   -->   568    0.2404274892E+04
   570   -->   569    0.1931918479E+03
   571   -->   570    0.2414140875E+04
   572   -->   571    0.1925319820E+03
   573   -->   572    0.2423988968E+04
