       N2_  0.127663260707E+05  0.700335000000E+01
    01   -->    00    0.2348321107E+04
    02   -->    01    0.2301627475E+04
    03   -->    02    0.2247013060E+04
    04   -->    03    0.2179281944E+04
    05   -->    04    0.2102347291E+04
    06   -->    05    0.2018158828E+04
    07   -->    06    0.1924803239E+04
    08   -->    07    0.1820505215E+04
    09   -->    08    0.1706089918E+04
    10   -->    09    0.1586134077E+04
    11   -->    10    0.1468378456E+04
    12   -->    11    0.1359737091E+04
    13   -->    12    0.1265880085E+04
    14   -->    13    0.1185790899E+04
    15   -->    14    0.1117473561E+04
    16   -->    15    0.1058158576E+04
    17   -->    16    0.1006297915E+04
    18   -->    17    0.9596271918E+03
    19   -->    18    0.9171185560E+03
    20   -->    19    0.8780026983E+03
    21   -->    20    0.8416680510E+03
    22   -->    21    0.8078464748E+03
    23   -->    22    0.7761205385E+03
    24   -->    23    0.7459878079E+03
    25   -->    24    0.7173716324E+03
    26   -->    25    0.6902200598E+03
    27   -->    26    0.6639968437E+03
    28   -->    27    0.6386216077E+03
    29   -->    28    0.6141350528E+03
    30   -->    29    0.5902911610E+03
    31   -->    30    0.5667783709E+03
    32   -->    31    0.5435785069E+03
    33   -->    32    0.5208852356E+03
    34   -->    33    0.4984394534E+03
    35   -->    34    0.4758387036E+03
    36   -->    35    0.4528257011E+03
    37   -->    36    0.4296848637E+03
    38   -->    37    0.4060584185E+03
    39   -->    38    0.3815452623E+03
    40   -->    39    0.3563131567E+03
    41   -->    40    0.3291945132E+03
    42   -->    41    0.3008517063E+03
    43   -->    42    0.2698635605E+03
    44   -->    43    0.2354663442E+03
    45   -->    44    0.1950119780E+03
    46   -->    45    0.1438377269E+03
    47   -->    46    0.6471506923E+02
    48   -->    47    0.4646248978E+02
    49   -->    48    0.7005690785E+02
    50   -->    49    0.8513798919E+02
    51   -->    50    0.9804824932E+02
    52   -->    51    0.1093871653E+03
    53   -->    52    0.1198068360E+03
    54   -->    53    0.1294102675E+03
    55   -->    54    0.1384263942E+03
    56   -->    55    0.1469519862E+03
    57   -->    56    0.1550662477E+03
    58   -->    57    0.1628446406E+03
    59   -->    58    0.1703234289E+03
    60   -->    59    0.1775525682E+03
    61   -->    60    0.1845515155E+03
    62   -->    61    0.1913531068E+03
    63   -->    62    0.1979774985E+03
    64   -->    63    0.2044416508E+03
    65   -->    64    0.2107589463E+03
    66   -->    65    0.2169467235E+03
    67   -->    66    0.2230133378E+03
    68   -->    67    0.2289676629E+03
    69   -->    68    0.2348224421E+03
    70   -->    69    0.2405812692E+03
    71   -->    70    0.2462531744E+03
    72   -->    71    0.2518437234E+03
    73   -->    72    0.2573581186E+03
    74   -->    73    0.2628015876E+03
    75   -->    74    0.2681782460E+03
    76   -->    75    0.2734924681E+03
    77   -->    76    0.2787473246E+03
    78   -->    77    0.2839470594E+03
    79   -->    78    0.2890938987E+03
    80   -->    79    0.2941908770E+03
    81   -->    80    0.2992405125E+03
    82   -->    81    0.3042450680E+03
    83   -->    82    0.3092073263E+03
    84   -->    83    0.3141289332E+03
    85   -->    84    0.3190116051E+03
    86   -->    85    0.3238570959E+03
    87   -->    86    0.3286673451E+03
    88   -->    87    0.3334439214E+03
    89   -->    88    0.3381877137E+03
    90   -->    89    0.3429004337E+03
    91   -->    90    0.3475835121E+03
    92   -->    91    0.3522374449E+03
    93   -->    92    0.3568639804E+03
    94   -->    93    0.3614639709E+03
    95   -->    94    0.3660383261E+03
