       N2_  0.127663260707E+05  0.700335000000E+01
    01   -->    00    0.2348467075E+04
    02   -->    01    0.2302142775E+04
    03   -->    02    0.2246558769E+04
    04   -->    03    0.2178725320E+04
    05   -->    04    0.2102338736E+04
    06   -->    05    0.2018638389E+04
    07   -->    06    0.1925091254E+04
    08   -->    07    0.1820577145E+04
    09   -->    08    0.1706004009E+04
    10   -->    09    0.1586253333E+04
    11   -->    10    0.1468276220E+04
    12   -->    11    0.1359748636E+04
    13   -->    12    0.1265752771E+04
    14   -->    13    0.1185737542E+04
    15   -->    14    0.1117327532E+04
    16   -->    15    0.1058114734E+04
    17   -->    16    0.1006224802E+04
    18   -->    17    0.9595496469E+03
    19   -->    18    0.9170707932E+03
    20   -->    19    0.8779686554E+03
    21   -->    20    0.8416129331E+03
    22   -->    21    0.8078283846E+03
    23   -->    22    0.7761017267E+03
    24   -->    23    0.7459514416E+03
    25   -->    24    0.7173737982E+03
    26   -->    25    0.6902126629E+03
    27   -->    26    0.6639824113E+03
    28   -->    27    0.6386260971E+03
    29   -->    28    0.6141355074E+03
    30   -->    29    0.5902982158E+03
    31   -->    30    0.5667792776E+03
    32   -->    31    0.5435905503E+03
    33   -->    32    0.5208965742E+03
    34   -->    33    0.4984543267E+03
    35   -->    34    0.4758556343E+03
    36   -->    35    0.4528375195E+03
    37   -->    36    0.4297153180E+03
    38   -->    37    0.4060683328E+03
    39   -->    38    0.3815737940E+03
    40   -->    39    0.3563355243E+03
    41   -->    40    0.3292188463E+03
    42   -->    41    0.3008783053E+03
    43   -->    42    0.2698990916E+03
    44   -->    43    0.2354910949E+03
    45   -->    44    0.1950570394E+03
    46   -->    45    0.1438695840E+03
    47   -->    46    0.2744342305E+02
    48   -->    47    0.2580185769E+02
    49   -->    48    0.2326276660E+02
    50   -->    49    0.3087099827E+02
    51   -->    50    0.3905812638E+02
    52   -->    51    0.4542721680E+02
    53   -->    52    0.5120599980E+02
    54   -->    53    0.5672837212E+02
    55   -->    54    0.6201122852E+02
    56   -->    55    0.6700564325E+02
    57   -->    56    0.7187311719E+02
    58   -->    57    0.7654445107E+02
    59   -->    58    0.8107083205E+02
    60   -->    59    0.8547137588E+02
    61   -->    60    0.8975738983E+02
    62   -->    61    0.9393916944E+02
    63   -->    62    0.9802358914E+02
    64   -->    63    0.1020217334E+03
    65   -->    64    0.1059419548E+03
    66   -->    65    0.1097886122E+03
    67   -->    66    0.1135660764E+03
    68   -->    67    0.1172863046E+03
    69   -->    68    0.1209437699E+03
    70   -->    69    0.1245484764E+03
    71   -->    70    0.1281020999E+03
    72   -->    71    0.1316081695E+03
    73   -->    72    0.1350699373E+03
    74   -->    73    0.1384902320E+03
    75   -->    74    0.1418697541E+03
    76   -->    75    0.1452115231E+03
    77   -->    76    0.1485185592E+03
    78   -->    77    0.1517914922E+03
    79   -->    78    0.1550329011E+03
    80   -->    79    0.1582431280E+03
    81   -->    80    0.1614242271E+03
    82   -->    81    0.1645785805E+03
    83   -->    82    0.1677059400E+03
    84   -->    83    0.1708077359E+03
    85   -->    84    0.1738859574E+03
    86   -->    85    0.1769408555E+03
    87   -->    86    0.1799734008E+03
    88   -->    87    0.1829848634E+03
    89   -->    88    0.1859758287E+03
    90   -->    89    0.1889470631E+03
