       N2_  0.127663260707E+05  0.700335000000E+01
    01   -->    00    0.2173625159E+04
    02   -->    01    0.2141634857E+04
    03   -->    02    0.2102183411E+04
    04   -->    03    0.2066359951E+04
    05   -->    04    0.2033395902E+04
    06   -->    05    0.1999669909E+04
    07   -->    06    0.1965543174E+04
    08   -->    07    0.1931006675E+04
    09   -->    08    0.1896330557E+04
    10   -->    09    0.1861338621E+04
    11   -->    10    0.1825948274E+04
    12   -->    11    0.1790154316E+04
    13   -->    12    0.1753979911E+04
    14   -->    13    0.1717357631E+04
    15   -->    14    0.1680403759E+04
    16   -->    15    0.1642975195E+04
    17   -->    16    0.1605093544E+04
    18   -->    17    0.1566765633E+04
    19   -->    18    0.1527878341E+04
    20   -->    19    0.1488472859E+04
    21   -->    20    0.1448543800E+04
    22   -->    21    0.1408083234E+04
    23   -->    22    0.1367191383E+04
    24   -->    23    0.1325925139E+04
    25   -->    24    0.1284412021E+04
    26   -->    25    0.1242745178E+04
    27   -->    26    0.1200967870E+04
    28   -->    27    0.1159276759E+04
    29   -->    28    0.1117864566E+04
    30   -->    29    0.1076975714E+04
    31   -->    30    0.1036785496E+04
    32   -->    31    0.9973579639E+03
    33   -->    32    0.9587150184E+03
    34   -->    33    0.9211474515E+03
    35   -->    34    0.8851438708E+03
    36   -->    35    0.8505539545E+03
    37   -->    36    0.8169554748E+03
    38   -->    37    0.7846266802E+03
    39   -->    38    0.7538979096E+03
    40   -->    39    0.7245923388E+03
    41   -->    40    0.6964805927E+03
    42   -->    41    0.6693875871E+03
    43   -->    42    0.6435203893E+03
    44   -->    43    0.6189011717E+03
    45   -->    44    0.5950956460E+03
    46   -->    45    0.5719211281E+03
    47   -->    46    0.5496508042E+03
    48   -->    47    0.5283605249E+03
    49   -->    48    0.5074610505E+03
    50   -->    49    0.4872045518E+03
    51   -->    50    0.4675438730E+03
    52   -->    51    0.4480039154E+03
    53   -->    52    0.4290892465E+03
    54   -->    53    0.4106982165E+03
    55   -->    54    0.3924892330E+03
    56   -->    55    0.3743865329E+03
    57   -->    56    0.3566007568E+03
    58   -->    57    0.3389833660E+03
    59   -->    58    0.3214276421E+03
    60   -->    59    0.3039325492E+03
    61   -->    60    0.2866532308E+03
    62   -->    61    0.2694269413E+03
    63   -->    62    0.2520728615E+03
    64   -->    63    0.2347074644E+03
    65   -->    64    0.2174864504E+03
    66   -->    65    0.2004999290E+03
    67   -->    66    0.1836695765E+03
    68   -->    67    0.1668233389E+03
    69   -->    68    0.1502096108E+03
    70   -->    69    0.1354772077E+03
    71   -->    70    0.1297239309E+03
    72   -->    71    0.1382963670E+03
    73   -->    72    0.1531070695E+03
    74   -->    73    0.1671918200E+03
    75   -->    74    0.1795577344E+03
    76   -->    75    0.1905996261E+03
    77   -->    76    0.2006840279E+03
    78   -->    77    0.2100473325E+03
    79   -->    78    0.2188526034E+03
    80   -->    79    0.2272057260E+03
    81   -->    80    0.2351860404E+03
    82   -->    81    0.2428518964E+03
    83   -->    82    0.2502472976E+03
    84   -->    83    0.2574089062E+03
    85   -->    84    0.2643633858E+03
    86   -->    85    0.2711356914E+03
    87   -->    86    0.2777438772E+03
    88   -->    87    0.2842042501E+03
    89   -->    88    0.2905305418E+03
    90   -->    89    0.2967344282E+03
    91   -->    90    0.3028263444E+03
    92   -->    91    0.3088147112E+03
    93   -->    92    0.3147072152E+03
    94   -->    93    0.3205112861E+03
    95   -->    94    0.3262329814E+03
    96   -->    95    0.3318769305E+03
    97   -->    96    0.3374485914E+03
    98   -->    97    0.3429524442E+03
    99   -->    98    0.3483926226E+03
   100   -->    99    0.3537720684E+03
   101   -->   100    0.3590943659E+03
   102   -->   101    0.3643628340E+03
   103   -->   102    0.3695802998E+03
   104   -->   103    0.3747480486E+03
   105   -->   104    0.3798706340E+03
   106   -->   105    0.3849482331E+03
   107   -->   106    0.3899833126E+03
   108   -->   107    0.3949786540E+03
   109   -->   108    0.3999354214E+03
   110   -->   109    0.4048540175E+03
   111   -->   110    0.4097384456E+03
   112   -->   111    0.4145879068E+03
   113   -->   112    0.4194049950E+03
   114   -->   113    0.4241899198E+03
   115   -->   114    0.4289456514E+03
   116   -->   115    0.4336704769E+03
   117   -->   116    0.4383687229E+03
   118   -->   117    0.4430382885E+03
   119   -->   118    0.4476828372E+03
   120   -->   119    0.4523004960E+03
   121   -->   120    0.4568952251E+03
   122   -->   121    0.4614641133E+03
   123   -->   122    0.4660123731E+03
   124   -->   123    0.4705354412E+03
   125   -->   124    0.4750400055E+03
   126   -->   125    0.4795200625E+03
   127   -->   126    0.4839836864E+03
   128   -->   127    0.4884231103E+03
   129   -->   128    0.4928480693E+03
   130   -->   129    0.4972491206E+03
   131   -->   130    0.5016378030E+03
   132   -->   131    0.5060022772E+03
   133   -->   132    0.5103568273E+03
   134   -->   133    0.5146865569E+03
   135   -->   134    0.5190090179E+03
   136   -->   135    0.5233054755E+03
   137   -->   136    0.5275978891E+03
   138   -->   137    0.5318624715E+03
   139   -->   138    0.5361265595E+03
   140   -->   139    0.5403604469E+03
   141   -->   140    0.5445980706E+03
   142   -->   141    0.5488022875E+03
   143   -->   142    0.5530152814E+03
   144   -->   143    0.5571905206E+03
   145   -->   144    0.5613807205E+03
   146   -->   145    0.5655276267E+03
   147   -->   146    0.5696968926E+03
   148   -->   147    0.5738156543E+03
   149   -->   148    0.5779660011E+03
   150   -->   149    0.5820568341E+03
   151   -->   150    0.5861903599E+03
   152   -->   151    0.5902527612E+03
   153   -->   152    0.5943718446E+03
   154   -->   153    0.5984052698E+03
   155   -->   154    0.6025123063E+03
   156   -->   155    0.6065154934E+03
   157   -->   156    0.6106137924E+03
   158   -->   157    0.6145851479E+03
   159   -->   158    0.6186779039E+03
   160   -->   159    0.6226151824E+03
   161   -->   160    0.6267065417E+03
   162   -->   161    0.6306066205E+03
   163   -->   162    0.6347013908E+03
   164   -->   163    0.6385601817E+03
   165   -->   164    0.6426642572E+03
   166   -->   165    0.6464765561E+03
   167   -->   166    0.6505967614E+03
   168   -->   167    0.6543562762E+03
   169   -->   168    0.6585011373E+03
   170   -->   169    0.6621994985E+03
   171   -->   170    0.6663792965E+03
   172   -->   171    0.6700061445E+03
   173   -->   172    0.6742335229E+03
   174   -->   173    0.6777758572E+03
   175   -->   174    0.6820662713E+03
   176   -->   175    0.6855080675E+03
   177   -->   176    0.6898801809E+03
   178   -->   177    0.6932018196E+03
   179   -->   178    0.6976784632E+03
   180   -->   179    0.7008554536E+03
   181   -->   180    0.7054645782E+03
   182   -->   181    0.7084668164E+03
   183   -->   182    0.7132425258E+03
   184   -->   183    0.7160330826E+03
   185   -->   184    0.7210168648E+03
   186   -->   185    0.7235505535E+03
   187   -->   186    0.7287928898E+03
   188   -->   187    0.7310145256E+03
   189   -->   188    0.7365767974E+03
