       N2_  0.127663260707E+05  0.700335000000E+01
    01   -->    00    0.2174431719E+04
    02   -->    01    0.2140505220E+04
    03   -->    02    0.2101732196E+04
    04   -->    03    0.2066563232E+04
    05   -->    04    0.2033451573E+04
    06   -->    05    0.1999626930E+04
    07   -->    06    0.1965524897E+04
    08   -->    07    0.1931014246E+04
    09   -->    08    0.1896437386E+04
    10   -->    09    0.1861412875E+04
    11   -->    10    0.1826035396E+04
    12   -->    11    0.1790270665E+04
    13   -->    12    0.1754047687E+04
    14   -->    13    0.1717436078E+04
    15   -->    14    0.1680436901E+04
    16   -->    15    0.1642960137E+04
    17   -->    16    0.1605050935E+04
    18   -->    17    0.1566680541E+04
    19   -->    18    0.1527773228E+04
    20   -->    19    0.1488368439E+04
    21   -->    20    0.1448420523E+04
    22   -->    21    0.1407963432E+04
    23   -->    22    0.1367082493E+04
    24   -->    23    0.1325823774E+04
    25   -->    24    0.1284335336E+04
    26   -->    25    0.1242672778E+04
    27   -->    26    0.1200903235E+04
    28   -->    27    0.1159225565E+04
    29   -->    28    0.1117821169E+04
    30   -->    29    0.1076947436E+04
    31   -->    30    0.1036773770E+04
    32   -->    31    0.9973535146E+03
    33   -->    32    0.9586900943E+03
    34   -->    33    0.9211490856E+03
    35   -->    34    0.8851841407E+03
    36   -->    35    0.8505633151E+03
    37   -->    36    0.8169568376E+03
    38   -->    37    0.7846660001E+03
    39   -->    38    0.7539266088E+03
    40   -->    39    0.7246201390E+03
    41   -->    40    0.6965125661E+03
    42   -->    41    0.6694093886E+03
    43   -->    42    0.6435595383E+03
    44   -->    43    0.6189343112E+03
    45   -->    44    0.5951243444E+03
    46   -->    45    0.5719419002E+03
    47   -->    46    0.5496906925E+03
    48   -->    47    0.5283909429E+03
    49   -->    48    0.5074696351E+03
    50   -->    49    0.4872516905E+03
    51   -->    50    0.4675548923E+03
    52   -->    51    0.4480287253E+03
    53   -->    52    0.4291145285E+03
    54   -->    53    0.4107168212E+03
    55   -->    54    0.3925081239E+03
    56   -->    55    0.3744043889E+03
    57   -->    56    0.3566179025E+03
    58   -->    57    0.3389985443E+03
    59   -->    58    0.3214409879E+03
    60   -->    59    0.3039466947E+03
    61   -->    60    0.2866638188E+03
    62   -->    61    0.2694375789E+03
    63   -->    62    0.2520795230E+03
    64   -->    63    0.2347141556E+03
    65   -->    64    0.2174976583E+03
    66   -->    65    0.2005166862E+03
    67   -->    66    0.1836804064E+03
    68   -->    67    0.1668009922E+03
    69   -->    68    0.1500572491E+03
    70   -->    69    0.1337160627E+03
    71   -->    70    0.1179436915E+03
    72   -->    71    0.1018585104E+03
    73   -->    72    0.8436198335E+02
    74   -->    73    0.6706448503E+02
    75   -->    74    0.5755026145E+02
    76   -->    75    0.6118919292E+02
    77   -->    76    0.7005581921E+02
    78   -->    77    0.7875231847E+02
    79   -->    78    0.8650606267E+02
    80   -->    79    0.9348424880E+02
    81   -->    80    0.9987496777E+02
    82   -->    81    0.1058203869E+03
    83   -->    82    0.1114180110E+03
    84   -->    83    0.1167303136E+03
    85   -->    84    0.1218097779E+03
    86   -->    85    0.1266900973E+03
    87   -->    86    0.1314014956E+03
    88   -->    87    0.1359633153E+03
    89   -->    88    0.1403954525E+03
    90   -->    89    0.1447108060E+03
    91   -->    90    0.1489228914E+03
    92   -->    91    0.1530403842E+03
    93   -->    92    0.1570728080E+03
    94   -->    93    0.1610267637E+03
    95   -->    94    0.1649098922E+03
    96   -->    95    0.1687261565E+03
    97   -->    96    0.1724816696E+03
    98   -->    97    0.1761804173E+03
    99   -->    98    0.1798261380E+03
   100   -->    99    0.1834223901E+03
   101   -->   100    0.1869721263E+03
   102   -->   101    0.1904783897E+03
   103   -->   102    0.1939433707E+03
   104   -->   103    0.1973697239E+03
   105   -->   104    0.2007594701E+03
   106   -->   105    0.2041142179E+03
   107   -->   106    0.2074362422E+03
   108   -->   107    0.2107265050E+03
   109   -->   108    0.2139870831E+03
   110   -->   109    0.2172190907E+03
   111   -->   110    0.2204240785E+03
   112   -->   111    0.2236029451E+03
   113   -->   112    0.2267568432E+03
   114   -->   113    0.2298867965E+03
   115   -->   114    0.2329938447E+03
   116   -->   115    0.2360789387E+03
   117   -->   116    0.2391430091E+03
   118   -->   117    0.2421865877E+03
   119   -->   118    0.2452106717E+03
   120   -->   119    0.2482155566E+03
   121   -->   120    0.2512024478E+03
   122   -->   121    0.2541717444E+03
   123   -->   122    0.2571241785E+03
   124   -->   123    0.2600597147E+03
   125   -->   124    0.2629795503E+03
   126   -->   125    0.2658840879E+03
   127   -->   126    0.2687740603E+03
   128   -->   127    0.2716487599E+03
   129   -->   128    0.2745098213E+03
   130   -->   129    0.2773571884E+03
   131   -->   130    0.2801917649E+03
   132   -->   131    0.2830129671E+03
   133   -->   132    0.2858219492E+03
   134   -->   133    0.2886183607E+03
   135   -->   134    0.2914036863E+03
   136   -->   135    0.2941768929E+03
   137   -->   136    0.2969394283E+03
   138   -->   137    0.2996903011E+03
   139   -->   138    0.3024313594E+03
   140   -->   139    0.3051614131E+03
   141   -->   140    0.3078820466E+03
   142   -->   141    0.3105918170E+03
   143   -->   142    0.3132930305E+03
   144   -->   143    0.3159839004E+03
   145   -->   144    0.3186665912E+03
   146   -->   145    0.3213390607E+03
   147   -->   146    0.3240041761E+03
   148   -->   147    0.3266592796E+03
   149   -->   148    0.3293074489E+03
   150   -->   149    0.3319458156E+03
   151   -->   150    0.3345780014E+03
   152   -->   151    0.3372003296E+03
   153   -->   152    0.3398170446E+03
   154   -->   153    0.3424240256E+03
   155   -->   154    0.3450260306E+03
   156   -->   155    0.3476181427E+03
   157   -->   156    0.3502061378E+03
   158   -->   157    0.3527840451E+03
   159   -->   158    0.3553584655E+03
   160   -->   159    0.3579226162E+03
   161   -->   160    0.3604841996E+03
   162   -->   161    0.3630350396E+03
   163   -->   162    0.3655842727E+03
   164   -->   163    0.3681222728E+03
   165   -->   164    0.3706596323E+03
   166   -->   165    0.3731851792E+03
   167   -->   166    0.3757112783E+03
   168   -->   167    0.3782246527E+03
   169   -->   168    0.3807399594E+03
   170   -->   169    0.3832415230E+03
   171   -->   170    0.3857465785E+03
   172   -->   171    0.3882366196E+03
   173   -->   172    0.3907318836E+03
   174   -->   173    0.3932106246E+03
   175   -->   174    0.3956966243E+03
   176   -->   175    0.3981642413E+03
   177   -->   176    0.4006414868E+03
   178   -->   177    0.4030981624E+03
   179   -->   178    0.4055672018E+03
   180   -->   179    0.4080129830E+03
   181   -->   180    0.4104743538E+03
   182   -->   181    0.4129093062E+03
   183   -->   182    0.4153636257E+03
   184   -->   183    0.4177877468E+03
   185   -->   184    0.4202356018E+03
   186   -->   185    0.4226487333E+03
   187   -->   186    0.4250907900E+03
   188   -->   187    0.4274928276E+03
   189   -->   188    0.4299298723E+03
   190   -->   189    0.4323205400E+03
   191   -->   190    0.4347532958E+03
   192   -->   191    0.4371322104E+03
   193   -->   192    0.4395616546E+03
   194   -->   193    0.4419284111E+03
   195   -->   194    0.4443554734E+03
   196   -->   195    0.4467093077E+03
   197   -->   196    0.4491350956E+03
   198   -->   197    0.4514753717E+03
   199   -->   198    0.4539012006E+03
   200   -->   199    0.4562268528E+03
   201   -->   200    0.4586541496E+03
   202   -->   201    0.4609640531E+03
   203   -->   202    0.4633944668E+03
   204   -->   203    0.4656871712E+03
   205   -->   204    0.4681226539E+03
   206   -->   205    0.4703964695E+03
   207   -->   206    0.4728391615E+03
   208   -->   207    0.4750919836E+03
   209   -->   208    0.4775445916E+03
   210   -->   209    0.4797739909E+03
   211   -->   210    0.4822392616E+03
   212   -->   211    0.4844423680E+03
   213   -->   212    0.4869238939E+03
   214   -->   213    0.4890971801E+03
   215   -->   214    0.4915989775E+03
   216   -->   215    0.4937384816E+03
   217   -->   216    0.4962651136E+03
   218   -->   217    0.4983660107E+03
   219   -->   218    0.5009230594E+03
   220   -->   219    0.5029796965E+03
   221   -->   220    0.5055733680E+03
   222   -->   221    0.5075792375E+03
   223   -->   222    0.5102170091E+03
   224   -->   223    0.5121642404E+03
   225   -->   224    0.5148546490E+03
   226   -->   225    0.5167343336E+03
   227   -->   226    0.5194873898E+03
   228   -->   227    0.5212888616E+03
   229   -->   228    0.5241162797E+03
   230   -->   229    0.5258272149E+03
   231   -->   230    0.5287424700E+03
   232   -->   231    0.5303485119E+03
   233   -->   232    0.5333673725E+03
   234   -->   233    0.5348517252E+03
   235   -->   234    0.5379924849E+03
   236   -->   235    0.5393356588E+03
   237   -->   236    0.5426195150E+03
   238   -->   237    0.5437988717E+03
   239   -->   238    0.5472503914E+03
   240   -->   239    0.5482396573E+03
   241   -->   240    0.5518873236E+03
   242   -->   241    0.5526560164E+03
   243   -->   242    0.5565327539E+03
   244   -->   243    0.5570455994E+03
   245   -->   244    0.5611894648E+03
   246   -->   245    0.5614057152E+03
   247   -->   246    0.5658606244E+03
   248   -->   247    0.5657331794E+03
   249   -->   248    0.5705498115E+03
   250   -->   249    0.5700243994E+03
   251   -->   250    0.5752611105E+03
   252   -->   251    0.5742751905E+03
   253   -->   252    0.5799991152E+03
   254   -->   253    0.5784808042E+03
   255   -->   254    0.5847690645E+03
   256   -->   255    0.5826357553E+03
   257   -->   256    0.5895768489E+03
   258   -->   257    0.5867338422E+03
   259   -->   258    0.5944291616E+03
   260   -->   259    0.5907679972E+03
   261   -->   260    0.5993335756E+03
   262   -->   261    0.5947302477E+03
   263   -->   262    0.6042986240E+03
   264   -->   263    0.5986115733E+03
   265   -->   264    0.6093339297E+03
   266   -->   265    0.6024017947E+03
   267   -->   266    0.6144502701E+03
   268   -->   267    0.6060894333E+03
   269   -->   268    0.6196597069E+03
   270   -->   269    0.6096616295E+03
   271   -->   270    0.6249757737E+03
   272   -->   271    0.6131040279E+03
   273   -->   272    0.6304135499E+03
   274   -->   273    0.6164006196E+03
   275   -->   274    0.6359898519E+03
   276   -->   275    0.6195336498E+03
   277   -->   276    0.6417232805E+03
   278   -->   277    0.6224833733E+03
   279   -->   278    0.6476344002E+03
   280   -->   279    0.6252280973E+03
   281   -->   280    0.6537458904E+03
   282   -->   281    0.6277439124E+03
   283   -->   282    0.6600825951E+03
   284   -->   283    0.6300047572E+03
   285   -->   284    0.6666716707E+03
   286   -->   285    0.6319821023E+03
   287   -->   286    0.6735425633E+03
   288   -->   287    0.6336452159E+03
   289   -->   288    0.6807271665E+03
   290   -->   289    0.6349609518E+03
   291   -->   290    0.6882597196E+03
   292   -->   291    0.6358940093E+03
   293   -->   292    0.6961767488E+03
   294   -->   293    0.6364069689E+03
   295   -->   294    0.7045168825E+03
   296   -->   295    0.6364605778E+03
   297   -->   296    0.7133206661E+03
   298   -->   297    0.6360142566E+03
   299   -->   298    0.7226300169E+03
   300   -->   299    0.6350264194E+03
   301   -->   300    0.7324878952E+03
   302   -->   301    0.6334552612E+03
   303   -->   302    0.7429374978E+03
   304   -->   303    0.6312596224E+03
   305   -->   304    0.7540214471E+03
   306   -->   305    0.6283999433E+03
   307   -->   306    0.7657807380E+03
   308   -->   307    0.6248393451E+03
   309   -->   308    0.7782535467E+03
   310   -->   309    0.6205452527E+03
   311   -->   310    0.7914738065E+03
   312   -->   311    0.6154906843E+03
   313   -->   312    0.8054697717E+03
   314   -->   313    0.6096559152E+03
   315   -->   314    0.8202622936E+03
   316   -->   315    0.6030301505E+03
   317   -->   316    0.8358632438E+03
   318   -->   317    0.5956129067E+03
   319   -->   318    0.8522739311E+03
   320   -->   319    0.5874154811E+03
   321   -->   320    0.8694837560E+03
   322   -->   321    0.5784620362E+03
   323   -->   322    0.8874691286E+03
   324   -->   323    0.5687901403E+03
   325   -->   324    0.9061928619E+03
   326   -->   325    0.5584508287E+03
   327   -->   326    0.9256041275E+03
   328   -->   327    0.5475079629E+03
   329   -->   328    0.9456390587E+03
   330   -->   329    0.5360369955E+03
   331   -->   330    0.9662220317E+03
   332   -->   331    0.5241230613E+03
   333   -->   332    0.9872676086E+03
   334   -->   333    0.5118584518E+03
   335   -->   334    0.1008683020E+04
   336   -->   335    0.4993396816E+03
   337   -->   336    0.1030371094E+04
   338   -->   337    0.4866644536E+03
   339   -->   338    0.1052233315E+04
   340   -->   339    0.4739286030E+03
   341   -->   340    0.1074172902E+04
   342   -->   341    0.4612233562E+03
   343   -->   342    0.1096097586E+04
   344   -->   343    0.4486329304E+03
   345   -->   344    0.1117922013E+04
   346   -->   345    0.4362327351E+03
   347   -->   346    0.1139569568E+04
   348   -->   347    0.4240881702E+03
   349   -->   348    0.1160973620E+04
   350   -->   349    0.4122539956E+03
   351   -->   350    0.1182078169E+04
   352   -->   351    0.4007742446E+03
   353   -->   352    0.1202837953E+04
   354   -->   353    0.3896825851E+03
   355   -->   354    0.1223218101E+04
   356   -->   355    0.3790030267E+03
   357   -->   356    0.1243193432E+04
   358   -->   357    0.3687508904E+03
   359   -->   358    0.1262747507E+04
   360   -->   359    0.3589339162E+03
   361   -->   360    0.1281871564E+04
   362   -->   361    0.3495533481E+03
   363   -->   362    0.1300563389E+04
   364   -->   363    0.3406050727E+03
   365   -->   364    0.1318826218E+04
   366   -->   365    0.3320806330E+03
   367   -->   366    0.1336667660E+04
   368   -->   367    0.3239682682E+03
   369   -->   368    0.1354098738E+04
   370   -->   369    0.3162537389E+03
   371   -->   370    0.1371133019E+04
   372   -->   371    0.3089210571E+03
   373   -->   372    0.1387785951E+04
   374   -->   373    0.3019529909E+03
   375   -->   374    0.1404074215E+04
   376   -->   375    0.2953316608E+03
   377   -->   376    0.1420015224E+04
   378   -->   377    0.2890389254E+03
   379   -->   378    0.1435626648E+04
   380   -->   379    0.2830568448E+03
   381   -->   380    0.1450926080E+04
   382   -->   381    0.2773678102E+03
   383   -->   382    0.1465930814E+04
   384   -->   383    0.2719547437E+03
   385   -->   384    0.1480657636E+04
   386   -->   385    0.2668012890E+03
   387   -->   386    0.1495122655E+04
   388   -->   387    0.2618918999E+03
   389   -->   388    0.1509341263E+04
   390   -->   389    0.2572118043E+03
   391   -->   390    0.1523328085E+04
   392   -->   391    0.2527470488E+03
   393   -->   392    0.1537096937E+04
   394   -->   393    0.2484845592E+03
   395   -->   394    0.1550660814E+04
   396   -->   395    0.2444120654E+03
   397   -->   396    0.1564031939E+04
   398   -->   397    0.2405180682E+03
   399   -->   398    0.1577221745E+04
   400   -->   399    0.2367918688E+03
   401   -->   400    0.1590240934E+04
   402   -->   401    0.2332234532E+03
   403   -->   402    0.1603099523E+04
   404   -->   403    0.2298034576E+03
   405   -->   404    0.1615806858E+04
   406   -->   405    0.2265231923E+03
   407   -->   406    0.1628371639E+04
   408   -->   407    0.2233745894E+03
   409   -->   408    0.1640801975E+04
   410   -->   409    0.2203501128E+03
   411   -->   410    0.1653105429E+04
   412   -->   411    0.2174427550E+03
   413   -->   412    0.1665289058E+04
   414   -->   413    0.2146459696E+03
   415   -->   414    0.1677359428E+04
   416   -->   415    0.2119536923E+03
   417   -->   416    0.1689322633E+04
   418   -->   417    0.2093603199E+03
   419   -->   418    0.1701184331E+04
   420   -->   419    0.2068606385E+03
   421   -->   420    0.1712949803E+04
   422   -->   421    0.2044497649E+03
   423   -->   422    0.1724623992E+04
   424   -->   423    0.2021231370E+03
   425   -->   424    0.1736211514E+04
   426   -->   425    0.1998764920E+03
   427   -->   426    0.1747716674E+04
   428   -->   427    0.1977058825E+03
   429   -->   428    0.1759143497E+04
   430   -->   429    0.1956075866E+03
   431   -->   430    0.1770495772E+04
   432   -->   431    0.1935781008E+03
   433   -->   432    0.1781777068E+04
   434   -->   433    0.1916141166E+03
   435   -->   434    0.1792990740E+04
   436   -->   435    0.1897125446E+03
   437   -->   436    0.1804139927E+04
   438   -->   437    0.1878704943E+03
   439   -->   438    0.1815227579E+04
   440   -->   439    0.1860852416E+03
   441   -->   440    0.1826256477E+04
   442   -->   441    0.1843542160E+03
   443   -->   442    0.1837229239E+04
   444   -->   443    0.1826750023E+03
   445   -->   444    0.1848148331E+04
   446   -->   445    0.1810453275E+03
   447   -->   446    0.1859016074E+04
   448   -->   447    0.1794630479E+03
   449   -->   448    0.1869834656E+04
   450   -->   449    0.1779261483E+03
   451   -->   450    0.1880606145E+04
   452   -->   451    0.1764327163E+03
   453   -->   452    0.1891332487E+04
   454   -->   453    0.1749809606E+03
   455   -->   454    0.1902015512E+04
   456   -->   455    0.1735692046E+03
   457   -->   456    0.1912656934E+04
   458   -->   457    0.1721958718E+03
   459   -->   458    0.1923258375E+04
   460   -->   459    0.1708594716E+03
   461   -->   460    0.1933821364E+04
   462   -->   461    0.1695585941E+03
   463   -->   462    0.1944347352E+04
   464   -->   463    0.1682919018E+03
   465   -->   464    0.1954837693E+04
   466   -->   465    0.1670581681E+03
   467   -->   466    0.1965293659E+04
   468   -->   467    0.1658562275E+03
   469   -->   468    0.1975716460E+04
   470   -->   469    0.1646849607E+03
   471   -->   470    0.1986107266E+04
   472   -->   471    0.1635432739E+03
   473   -->   472    0.1996467209E+04
   474   -->   473    0.1624301139E+03
   475   -->   474    0.2006797362E+04
   476   -->   475    0.1613445018E+03
   477   -->   476    0.2017098728E+04
   478   -->   477    0.1602855219E+03
