-et,symetrie,nrj
Doublet,Ag,0.0
Doublet,Ag,19.33270499999989
Doublet,Ag,20.83197600000017
Quartet,Ag,18.415728
Quartet,Ag,19.68371399999995
Doublet,Au,10.932977999999848
Doublet,Au,11.23500899999982
Doublet,Au,11.841791999999856
Doublet,Au,12.641766000000118
Quartet,Au,8.954810999999914
Quartet,Au,10.1602140000001
Doublet,B1g,20.83197600000017
Quartet,B1g,18.415728
Quartet,B1g,20.38028999999987
Doublet,B1u,10.143887999999947
Doublet,B1u,11.23500899999982
Doublet,B1u,11.841791999999856
Doublet,B1u,20.33675399999997
Quartet,B1u,7.705871999999828
Quartet,B1u,8.954810999999914
Doublet,B2g,10.66904099999998
Doublet,B2g,11.75199899999997
Doublet,B2g,11.92614299999995
Doublet,B2g,13.860773999999983
Doublet,B2g,19.580316
Quartet,B2g,9.621456000000004
Doublet,B2u,0.5523630000001627
Quartet,B2u,20.513619000000045
Doublet,B3g,10.66904099999998
Doublet,B3g,11.75199899999997
Doublet,B3g,11.92614299999995
Doublet,B3g,13.860773999999983
Doublet,B3g,19.580316
Quartet,B3g,9.621456000000004
Doublet,B3u,0.5523630000001627
Quartet,B3u,20.513619000000045
