 Partial Wave:           4          -3           4          -3
 Geom  Smat  Delta  eigenphase_matrix  
   1.8897000551223755            (0.99996661869713199,-8.16274018910010009E-003)        (-4.08141548771304152E-003,0.0000000000000000)           (-0.69377408636480242,-0.72019269441496259)
   1.9316999912261963            (0.99996514814166781,-8.30698461480703330E-003)        (-4.15355305987273691E-003,0.0000000000000000)           (-0.69377408636480242,-0.72019269441496259)
   1.9737000465393066            (0.99996331385625492,-8.45116814542259433E-003)        (-4.22569083678199942E-003,0.0000000000000000)           (-0.69377408636480242,-0.72019269441496259)
   2.0157001018524170            (0.99996111273698018,-8.59529744533500326E-003)        (-4.29782861369126107E-003,0.0000000000000000)           (-0.69377408636480242,-0.72019269441496259)
   2.0576999187469482            (0.99995854191772648,-8.73937889649262570E-003)        (-4.36996598110138933E-003,0.0000000000000000)           (-0.69377408636480242,-0.72019269441496259)
   2.0977001190185547            (0.99995574733976633,-8.87656358070297233E-003)        (-4.43866887927634075E-003,0.0000000000000000)           (-0.69377408636480242,-0.72019269441496259)
   2.1417000293731689            (0.99995228073530096,-9.02743172400852396E-003)        (-4.51424153491991349E-003,0.0000000000000000)           (-0.69377408636480242,-0.72019269441496259)
   2.1837000846862793            (0.99994858579235679,-9.17141724150497863E-003)        (-4.58637931182917600E-003,0.0000000000000000)           (-0.69377408636480242,-0.72019269441496259)
   2.2256999015808105            (0.99994451197950274,-9.31538481302014200E-003)        (-4.65851667923930426E-003,0.0000000000000000)           (-0.69377408636480242,-0.72019269441496259)
   2.2676999568939209            (0.99994005756332305,-9.45934378424637123E-003)        (-4.73065445614856590E-003,0.0000000000000000)           (-0.69377408636480242,-0.72019269441496259)

 Kmat
   1.8897000551223755        3.9476098545669999E-004
   1.9316999912261963       -3.8175547671170000E-003
   1.9737000465393066       -4.3984111087459997E-003
   2.0157001018524170       -4.4711892009620001E-003
   2.0576999187469482       -4.7417499069059999E-003
