       N2_  0.127663260707E+05  0.700335000000E+01
    01   -->    00    0.2317393918E+04
    02   -->    01    0.2291854995E+04
    03   -->    02    0.2261280768E+04
    04   -->    03    0.2228269630E+04
    05   -->    04    0.2196148216E+04
    06   -->    05    0.2165141580E+04
    07   -->    06    0.2136416804E+04
    08   -->    07    0.2109470698E+04
    09   -->    08    0.2083872739E+04
    10   -->    09    0.2059052709E+04
    11   -->    10    0.2034174629E+04
    12   -->    11    0.2008805910E+04
    13   -->    12    0.1982782929E+04
    14   -->    13    0.1956035426E+04
    15   -->    14    0.1928689324E+04
    16   -->    15    0.1900783027E+04
    17   -->    16    0.1872246701E+04
    18   -->    17    0.1843100027E+04
    19   -->    18    0.1813393020E+04
    20   -->    19    0.1783157201E+04
    21   -->    20    0.1752463862E+04
    22   -->    21    0.1721397560E+04
    23   -->    22    0.1689983867E+04
    24   -->    23    0.1658214698E+04
    25   -->    24    0.1626114777E+04
    26   -->    25    0.1593647911E+04
    27   -->    26    0.1560749573E+04
    28   -->    27    0.1527402453E+04
    29   -->    28    0.1493553742E+04
    30   -->    29    0.1459138876E+04
    31   -->    30    0.1424110218E+04
    32   -->    31    0.1388377281E+04
    33   -->    32    0.1351827326E+04
    34   -->    33    0.1314371756E+04
    35   -->    34    0.1275919605E+04
    36   -->    35    0.1236382766E+04
    37   -->    36    0.1195671333E+04
    38   -->    37    0.1153662976E+04
    39   -->    38    0.1110314498E+04
    40   -->    39    0.1065569450E+04
    41   -->    40    0.1018963220E+04
    42   -->    41    0.9695114219E+03
    43   -->    42    0.9175589449E+03
    44   -->    43    0.8664581028E+03
    45   -->    44    0.8148887643E+03
    46   -->    45    0.7542284872E+03
    47   -->    46    0.6941545174E+03
    48   -->    47    0.6522872739E+03
    49   -->    48    0.5973366140E+03
    50   -->    49    0.5091089641E+03
    51   -->    50    0.4545723699E+03
    52   -->    51    0.3565327429E+03
    53   -->    52    0.2436492329E+03
    54   -->    53    0.7394517618E+02
    55   -->    54    0.2815444053E+02
    56   -->    55    0.3931974130E+02
    57   -->    56    0.5393566601E+02
    58   -->    57    0.6399218430E+02
    59   -->    58    0.8070840566E+02
    60   -->    59    0.8233092119E+02
    61   -->    60    0.1001332670E+03
    62   -->    61    0.1027352217E+03
    63   -->    62    0.1209904647E+03
    64   -->    63    0.1156877135E+03
    65   -->    64    0.1380693876E+03
    66   -->    65    0.1309664856E+03
    67   -->    66    0.1567336924E+03
    68   -->    67    0.1439501757E+03
    69   -->    68    0.1721788807E+03
    70   -->    69    0.1571306834E+03
    71   -->    70    0.1896713538E+03
    72   -->    71    0.1677342667E+03
    73   -->    72    0.2052237808E+03
    74   -->    73    0.1787840378E+03
    75   -->    74    0.2218899779E+03
    76   -->    75    0.1881129480E+03
    77   -->    76    0.2376081103E+03
    78   -->    77    0.1975436928E+03
    79   -->    78    0.2535172303E+03
    80   -->    79    0.2057286296E+03
    81   -->    80    0.2696733169E+03
    82   -->    81    0.2132282835E+03
    83   -->    82    0.2859061455E+03
    84   -->    83    0.2199306925E+03
    85   -->    84    0.3024981950E+03
    86   -->    85    0.2257019163E+03
    87   -->    86    0.3194836052E+03
    88   -->    87    0.2305758562E+03
    89   -->    88    0.3369419776E+03
    90   -->    89    0.2344941171E+03
    91   -->    90    0.3549446692E+03
    92   -->    91    0.2374268458E+03
    93   -->    92    0.3735737886E+03
    94   -->    93    0.2393335643E+03
    95   -->    94    0.3928841981E+03
    96   -->    95    0.2401916616E+03
    97   -->    96    0.4129377691E+03
    98   -->    97    0.2399802648E+03
    99   -->    98    0.4337806795E+03
   100   -->    99    0.2386952177E+03
   101   -->   100    0.4554259700E+03
   102   -->   101    0.2363543454E+03
   103   -->   102    0.4778977127E+03
   104   -->   103    0.2330014505E+03
   105   -->   104    0.5011453094E+03
   106   -->   105    0.2286858988E+03
   107   -->   106    0.5251683969E+03
   108   -->   107    0.2235048743E+03
   109   -->   108    0.5498364988E+03
   110   -->   109    0.2175732097E+03
   111   -->   110    0.5751271900E+03
   112   -->   111    0.2109680036E+03
   113   -->   112    0.6008625422E+03
   114   -->   113    0.2039263734E+03
   115   -->   114    0.6269473330E+03
   116   -->   115    0.1964603746E+03
   117   -->   116    0.6532987073E+03
   118   -->   117    0.1887725268E+03
   119   -->   118    0.6796968545E+03
   120   -->   119    0.1810522249E+03
   121   -->   120    0.7060690487E+03
   122   -->   121    0.1733015059E+03
   123   -->   122    0.7323211155E+03
   124   -->   123    0.1657065500E+03
   125   -->   124    0.7583187773E+03
   126   -->   125    0.1583179424E+03
   127   -->   126    0.7840378313E+03
   128   -->   127    0.1511628033E+03
   129   -->   128    0.8093985202E+03
   130   -->   129    0.1443488289E+03
   131   -->   130    0.8343429987E+03
   132   -->   131    0.1378794379E+03
   133   -->   132    0.8588713840E+03
   134   -->   133    0.1317560329E+03
   135   -->   134    0.8829716391E+03
   136   -->   135    0.1259947387E+03
   137   -->   136    0.9066382806E+03
   138   -->   137    0.1205901539E+03
   139   -->   138    0.9298791628E+03
   140   -->   139    0.1155335734E+03
   141   -->   140    0.9527048346E+03
   142   -->   141    0.1108141870E+03
   143   -->   142    0.9751299836E+03
   144   -->   143    0.1064163502E+03
   145   -->   144    0.9971731469E+03
   146   -->   145    0.1023223353E+03
   147   -->   146    0.1018855158E+04
   148   -->   147    0.9851239698E+02
   149   -->   148    0.1040199094E+04
   150   -->   149    0.9496476896E+02
   151   -->   150    0.1061229135E+04
   152   -->   151    0.9165773384E+02
   153   -->   152    0.1081969073E+04
   154   -->   153    0.8857037714E+02
   155   -->   154    0.1102440881E+04
   156   -->   155    0.8568471877E+02
   157   -->   156    0.1122663487E+04
   158   -->   157    0.8298564509E+02
   159   -->   158    0.1142653028E+04
   160   -->   159    0.8046072128E+02
   161   -->   160    0.1162424139E+04
   162   -->   161    0.7809756160E+02
   163   -->   162    0.1181990550E+04
   164   -->   163    0.7588565850E+02
   165   -->   164    0.1201366288E+04
   166   -->   165    0.7381113562E+02
   167   -->   166    0.1220570003E+04
   168   -->   167    0.7185531688E+02
   169   -->   168    0.1239614557E+04
   170   -->   169    0.7001474269E+02
   171   -->   170    0.1258511451E+04
   172   -->   171    0.6827300658E+02
   173   -->   172    0.1277277143E+04
   174   -->   173    0.6661813731E+02
   175   -->   174    0.1295917058E+04
   176   -->   175    0.6505402997E+02
   177   -->   176    0.1314431681E+04
   178   -->   177    0.6357876545E+02
   179   -->   178    0.1332828491E+04
   180   -->   179    0.6218237451E+02
   181   -->   180    0.1351120077E+04
   182   -->   181    0.6085286700E+02
   183   -->   182    0.1369313989E+04
   184   -->   183    0.5958980706E+02
   185   -->   184    0.1387414268E+04
   186   -->   185    0.5838771520E+02
   187   -->   186    0.1405430279E+04
   188   -->   187    0.5723615316E+02
   189   -->   188    0.1423368291E+04
   190   -->   189    0.5613538920E+02
   191   -->   190    0.1441227925E+04
   192   -->   191    0.5508779875E+02
   193   -->   192    0.1459010975E+04
   194   -->   193    0.5408953882E+02
   195   -->   194    0.1476723348E+04
   196   -->   195    0.5313472811E+02
   197   -->   196    0.1494371568E+04
   198   -->   197    0.5221813895E+02
   199   -->   198    0.1511960973E+04
   200   -->   199    0.5133615047E+02
   201   -->   200    0.1529494808E+04
   202   -->   201    0.5048762475E+02
   203   -->   202    0.1546974001E+04
   204   -->   203    0.4967345439E+02
   205   -->   204    0.1564398739E+04
   206   -->   205    0.4889391411E+02
   207   -->   206    0.1581770747E+04
   208   -->   207    0.4814677639E+02
   209   -->   208    0.1599094052E+04
   210   -->   209    0.4742766975E+02
   211   -->   210    0.1616373511E+04
   212   -->   211    0.4673265248E+02
   213   -->   212    0.1633612483E+04
   214   -->   213    0.4606027178E+02
   215   -->   214    0.1650811862E+04
   216   -->   215    0.4541142009E+02
   217   -->   216    0.1667971150E+04
   218   -->   217    0.4478735918E+02
   219   -->   218    0.1685090600E+04
   220   -->   219    0.4418743776E+02
   221   -->   220    0.1702172639E+04
   222   -->   221    0.4360857148E+02
   223   -->   222    0.1719221232E+04
   224   -->   223    0.4304699090E+02
   225   -->   224    0.1736239718E+04
   226   -->   225    0.4250081293E+02
   227   -->   226    0.1753228682E+04
   228   -->   227    0.4197170240E+02
   229   -->   228    0.1770187128E+04
   230   -->   229    0.4146084684E+02
   231   -->   230    0.1787115409E+04
   232   -->   231    0.4096726417E+02
   233   -->   232    0.1804014589E+04
   234   -->   233    0.4049066578E+02
   235   -->   234    0.1820886556E+04
   236   -->   235    0.4002835618E+02
   237   -->   236    0.1837734507E+04
   238   -->   237    0.3957748920E+02
   239   -->   238    0.1854559809E+04
   240   -->   239    0.3913892325E+02
   241   -->   240    0.1871361411E+04
   242   -->   241    0.3871459284E+02
   243   -->   242    0.1888138060E+04
   244   -->   243    0.3830573162E+02
